ID	県名（日本語）	県名（英語）	県名（タイ語）	地方区分	ISO 3166-2	県標語（タイ語）	県標語（日本語訳）	県木（タイ語）	県花（タイ語・候補）	県章説明（英語資料）	県章説明（日本語要約）	象徴文化・産業	代表的地形	隣接県	県標語・県木出典URL	県花出典URL	県章出典URL	確認状態	精査メモ
11	ピッサヌローク	Phitsanulok	พิษณุโลก	中部	TH-65	พระพุทธชินราชงามเลิศ ถิ่นกำเนิดพระนเรศวร สองฝั่งน่านล้วนเรือนแพ หวานฉ่ำแท้กล้วยตาก ถ้ำและน้ำตกหลากตระการตา		ปีบ	ดอกนนทรี	Buddha Chinnarat, considered one of the most beautiful Buddha figures in Thailand. It is located in Wat Mahathat temple in the city Phitsanulok. [ 2 ]					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
12	スコータイ	Sukhothai	สุโขทัย	中部	TH-64	มรดกโลกล้ำเลิศ กำเนิดลายสือไทย เล่นไฟลอยกระทง ดำรงพุทธศาสนา งามตาผ้าตีนจก สังคโลกทองโบราณ สักการแม่ย่าพ่อขุน รุ่งอรุณแห่งความสุข		มะค่าโมง	ดอกบัวหลวง	King Ram Khamhaeng the Great of the Phra Ruang dynasty seated on the Manangkhasila Asana throne, symbolizing his just rule and the peace of his people.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://sukhothai.m-society.go.th/?page_id=725	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
13	ペッチャブーン	Phetchabun	เพชรบูรณ์	中部	TH-67	เมืองมะขามหวาน อุทยานน้ำหนาว ศรีเทพเมืองเก่า เขาค้ออนุสรณ์ นครพ่อขุนผาเมือง		มะขาม	ดอกมะขาม	A diamond before a mountain, as diamonds are found in this mountainous province . In the front are tobacco plants as one of the crops grown in the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
14	カムペーンペット	Kamphaeng Phet	กำแพงเพชร	中部	TH-62	กรุพระเครื่อง เมืองคนแกร่ง พระแสงฯ ล้ำค่า ศิลาแลงใหญ่ กล้วยไข่หวาน น้ำมันลานกระบือ เลื่องลือมรดกโลก		สีเสียดแก่น	ดอกพิกุล	The city walls surmounted by diamonds , since the city name means diamond wall					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
15	ナコーンサワン	Nakhon Sawan	นครสวรรค์	中部	TH-60	เมืองสี่แคว แห่มังกร พักผ่อนบึงบอระเพ็ด ปลารสเด็ดปากน้ำโพ		อินทราชิต	ดอกเสลา	Wiman , a mythological palace located in heaven. This relates to the name of the province which translates to Heavenly City					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
16	ノンタブリー	Nonthaburi	นนทบุรี	中部	TH-12	พระตำหนักสง่างาม ลือนามสวนสมเด็จ เกาะเกร็ดแหล่งดินเผาวัดเก่านามระบือ เลื่องลือทุเรียนนนท์ งามน่ายลศูนย์ราชการ		นนทรี	ดอกนนทรี	A pot ( Kalasha ) , made of fine earthenware is a traditional product from Nonthaburi. The pot also symbolizes the fertility of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
17	ロッブリー	Lopburi	ลพบุรี	中部	TH-16	วังนารายณ์คู่บ้าน ศาลพระกาฬคู่เมือง ปรางค์สามยอดลือเลื่อง เมืองแห่งดินสอพอง เขื่อนป่าสักชลสิทธิ์เกริกก้อง แผ่นดินทองสมเด็จพระนารายณ์		พิกุล	ดอกพิกุล	God Vishnu (aka Narayana , refers to King Narai of Ayutthaya Kingdom ) in front of Khmer Temple Phra Prang Sam Yod .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
18	シンブリー	Sing Buri	สิงห์บุรี	中部	TH-17	ถิ่นวีรชนคนกล้า คู่หล้าพระนอน นามกระฉ่อนช่อนแม่ลา เทศกาลกินปลาประจำปี		มะกล่ำต้น	設定なし／未設定	The former provincial seal showed the fort of Khai Bangrachan, a historical monument. When the Burmese attacked Ayutthaya in 1765, eleven villagers from Bangrachan fought the army when it stopped north of Ayutthaya. They managed to delay them for five months before they were finally defeated, soon thereafter Ayutthaya fell as well.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
19	アーントーン	Ang Thong	อ่างทอง	中部	TH-15	พระสมเด็จเกษไชโย หลวงพ่อโตองค์ใหญ่ วีรไทยใจกล้า ตุ๊กตาชาววัง โด่งดังจักสาน ถิ่นฐานทำกลอง เมืองสองพระนอน		มะพลับ	設定なし／未設定	Ang Thong province is one of the main rice-producing areas of Thailand. On the centre of the seal there is a bowl with water and rice ears, a symbol of Mae Po Sop , the rice goddess.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
20	サラブリー	Saraburi	สระบุรี	中部	TH-19	พระพุทธบาทสูงค่า เขื่อนป่าสักชลสิทธิ์ ฐานผลิตอุตสาหกรรม เกษตรนำล้ำแหล่งเที่ยว หนึ่งเดียวกะหรี่ปั๊บนมดี ประเพณีตักบาตรดอกไม้งาม เหลืองอร่ามทุ่งทานตะวัน ลือลั่นเมืองชุมทาง		ตะแบก	ดอกสุพรรณิการ์	Wat Phra Phuttha Bat temple. In the 17th century a hunter found a puddle of water which looked like a (oversized) footprint. It was declared a footprint of Buddha , and the temple was built around it. Phra Phutthabat means footprint of Buddha .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
21	ウタイターニー	Uthai Thani	อุทัยธานี	中部	TH-61	อุทัยธานี เมืองพระชนกจักรี ปลาแรดรสดี ประเพณีเทโว ส้มโอบ้าน น้ำตก มรดกโลกห้วยขาแข้ง แหล่งต้นน้ำสะแกกรัง ตลาดนัดดังโคกระบือ		สะเดา	ดอกสุพรรณิการ์	The pavilion at Wat Khao Sakaekrang. It houses the statue of Thongdee, the father of King Rama I. The mountain in the background symbolizes the location of the pavilion on top of Khao Sakae Krang hill.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
22	チャイナート	Chai Nat	ชัยนาท	中部	TH-18	หลวงปู่ศุขลือชา เขื่อนเจ้าพระยาลือชื่อ นามระบือสวนนก ส้มโอดกขาวแตงกวา		มะตูม	ดอกชัยพฤกษ์	Dharmachakra held aloft by Garuda in front of the locally revered mountain Khao Phlong 15°12′N 100°09′E / 15.200°N 100.150°E / 15.200; 100.150 and the Chao Phraya River .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
23	アユタヤ	Phra Nakhon Si Ayutthaya	พระนครศรีอยุธยา	中部	TH-14	ราชธานีเก่า อู่ข้าวอู่น้ำ เลิศล้ำกานท์กวี คนดีศรีอยุธยา เลอคุณค่ามรดกโลก		หมัน	ดอกโสน	A pavilion sheltering a white conch ( Shankha ) on a phan (tray) in honor of King Uthong , the legendary founder of the city. Behind stands the Fragrant Manjack ( Cordia dichotoma ), the provincial tree					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
24	ピチット	Phichit	พิจิตร	中部	TH-66	เมืองชาละวัน แข่งขันเรือยาว ข้าวเจ้าอร่อย ส้มท่าข่อยรสเด็ด หลวงพ่อเพชรรวมใจ บึงสีไฟลือเลื่อง ยอดพระเครื่องหลวงพ่อเงิน		บุนนาค	ดอกบัวหลวง	A pond, which refers to the old name of Phichit, Mueang Sra Luang (‘city at the royal pond’). The banyan tree in front refers to the temple Wat Pho Prathab Chang. The temple was built in 1669–71 by King Suriyenthrathibodi , aka, Luang Sorasak or Phrachao Suea, who was born in the village of Pho Prathab Chang, between a banyan and a sacred fig .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
25	スパンブリー	Suphan Buri	สุพรรณบุรี	中部	TH-72	เมืองยุทธหัตถี วรรณคดีขึ้นชื่อ เลื่องลือพระเครื่อง รุ่งเรืองเกษตรกรรม สูงล้ำประวัติศาสตร์แหล่ง ปราชญ์ศิลปิน ภาษาถิ่นชวนฟัง		มะเกลือ	ดอกสุพรรณิการ์	The elephant duel between King Naresuan and the crown prince of Burma named Mingyi Swa in 1592, which took place in Suphan Buri.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
26	ナコーンナーヨック	Nakhon Nayok	นครนายก	中部	TH-26	เมืองในฝันที่ใกล้กรุง ภูเขางาม น้ำตกสวย รวยธรรมชาติปราศจากมลพิษ		สุพรรณิการ์	ดอกสุพรรณิการ์	An elephant holding ears of rice with its trunk. This symbolizes the fertile rice fields of Nakhon Nayok, as well as the forests with numerous elephants. In the background two piles of straw, trees and stylized clouds symbolize the natural beauty of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
27	パトゥムターニー	Pathum Thani	ปทุมธานี	中部	TH-13	ถิ่นบัวหลวง เมืองรวงข้าว เชื้อชาวมอญ นครธรรมะ พระตำหนักรวมใจ สดใสเจ้าพระยา ก้าวหน้าอุตสาหกรรม		ทองหลางลาย	ดอกบัวหลวง	A pink lotus flower with two rice ears bending over it. Both symbols stand for the fertility of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
28	サムットプラーカーン	Samut Prakan	สมุทรปราการ	中部	TH-11	ป้อมยุทธนาวี พระเจดีย์กลางน้ำ ฟาร์มจระเข้ใหญ่ งามวิไลเมืองโบราณ สงกรานต์พระประแดง ปลาสลิด แห้งรสดี ประเพณีรับบัว ครบถ้วนทั่วอุตสาหกรรม		โพทะเล	ดอกดาวเรือง	Phra Samut Chedi, the most important site of Buddhist worship in the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
29	ナコーンパトム	Nakhon Pathom	นครปฐม	中部	TH-73	ส้มโอหวาน ข้าวสารขาว ลูกสาวงาม ข้าวหลามหวานมัน สนามจันทร์งามล้น พุทธมณฑลคู่ธานี พระปฐมเจดีย์เสียดฟ้า สวยงามตาแม่น้ำท่าจีน		ต้นจัน	設定なし／未設定	The Phra Pathom Chedi stupa , among the highest pagodas of the world. Located at the city center, it has been an important Buddhist center since the 6th century. The current building was created by king Mongkut in 1860. On the pagoda a royal crown is depicted, the symbol for King Mongkut's reconstruction.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
30	サムットサーコーン	Samut Sakhon	สมุทรสาคร	中部	TH-74	เมืองประมง ดงโรงงาน ลานเกษตร เขตประวัติศาสตร์		สัตบรรณ	設定なし／未設定	A Chinese junk in front of the coast, with a smoking chimney, referring to the Tha Chin River (ท่าจีน; "Chinese Port"), as well as the old of the province, Mueang Tha Chin (เมืองท่าจีน; "City of Chinese Port"). It also refers to the old trading tradition as well as the local industries.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
31	サムットソンクラーム	Samut Songkhram	สมุทรสงคราม	中部	TH-75	เมืองหอยหลอด ยอดลิ้นจี่ มีอุทยาน ร.2 แม่กลองไหลผ่าน นมัสการหลวงพ่อบ้านแหลม		จิกทะเล	ดอกจิกทะเล	Garuda above a drum over a river. The Thai word for drum is klong , thus refers to the Klong River (แม่กลอง mae klong ), as well as the old name of the province, Mueang Mae Klong (เมืองแม่กลอง; "City of Klong River"). On both sides of the river coconut trees are displayed as one of the main product of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
32	ノーンカーイ	Nong Khai	หนองคาย	東北部	TH-43	วีรกรรมปราบฮ่อ หลวงพ่อพระใส สะพานไทย-ลาว		ชิงชัน	ดอกชิงชัน	A pond with a bamboo clump close to it. The bamboo symbolizes stability, glory and continuity for the peaceful and fertile land.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
33	ブンカーン	Bueng Kan	บึงกาฬ	東北部	TH-38	ภูทอกแหล่งพระธรรม ค่าล้ำยางพารา งามตาแก่งอาฮง บึงโขงหลงเพลินใจ น้ำตกใสเจ็ดสี ประเพณีแข่งเรือ เหนือสุดแดนอีสาน นมัสการหลวงพ่อใหญ่ ศูนย์รวมใจศาลสองนาง		ต้นสิรินธรวัลลี	ดอกสิรินธรวัลลี หรือชื่อพื้นเมือง สามสิบสองประดง	The silhouette of Phu Thok .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 18°08′15″N 103°52′45″E / 18.13750°N 103.87917°E / 18.13750; 103.87917 , a rocky sandstone outcrop on whose summit stands Wat Phu Thok temple. [ 1 ]					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
34	サコンナコーン	Sakon Nakhon	สกลนคร	東北部	TH-47	พระธาตุเชิงชุมคู่บ้าน พระตำหนักภูพานคู่เมือง งามลือเลื่องหนองหาน แลตระการปราสาทผึ้ง สวยสุดซึ้งสาวภูไท ถิ่นมั่นในพุทธธรรม		อินทนิลน้ำ	ดอกอินทนิลน้ำ	Phrathat Choeng Chum, a Lao -style stupa built during the Ayutthaya period over a Khmer -style prang .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
35	ノーンブワラムプー	Nong Bua Lam Phu	หนองบัวลำภู	東北部	TH-39	ศาลสมเด็จพระนเรศวรมหาราช อุทยานแห่งชาติภูเก้า ภูพานคำ แผ่นดินธรรมหลวงปู่ขาว เด่นสกาวถ้ำเอราวัณนครเขื่อนขันธ์กาบแก้วบัวบาน		พะยูง	ดอกบัวหลวง	King Naresuan in front of a shrine. This shrine was built to commemorate the visit of King Naresuan to the city of Nong Bua Lamphu in 1574 when he was gathering troops to fight the Burmese kingdom of Taungoo . Behind the shrine is a pond with lotus flowers ( Nymphaea lotus ), which is the provincial flower.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
