ID	名称	ジャンル	主な産地	レア度	入手難易度	旬・時期	タグ	解説・ストーリー
11	カオ・ガン・ジン (Khao Kan Jin)	料理(Dish)	全域(朝市)	★4	市場/屋台	通年	#朝ごはん, #バナナの葉, #豚の血	ご飯に豚の血とひき肉を混ぜ、バナナの葉で包んで蒸した料理。生臭さはなく、香ばしいオイルと揚げニンニク、唐辛子と一緒に食べると絶品。
12	チン・ソム (Chin Som / Naem)	料理(Dish)	全域	★3	市場/コンビニ	通年	#発酵食品, #酸味, #酒の肴	豚肉と皮を発酵させた酸っぱいソーセージ（ネーム）。バナナの葉で四角く包まれているのが特徴。炭火で炙って食べる「チン・ソム・モック」は屋台の定番。
13	サイウア (Sai Ua)	料理(Dish)	全域	★3	市場/屋台	通年	#ハーブソーセージ, #激辛, #おつまみ	レモングラス、コブミカン、唐辛子などのハーブが大量に入った北タイ風ソーセージ。店によって辛さやハーブの配合が異なり、食べ比べが楽しい。
14	ナムプリック・ヌム (Nam Phrik Num)	料理(Dish)	全域	★3	市場	通年	#ディップ, #青唐辛子, #ヘルシー	焼いた青唐辛子、ニンニク、ホムデーン（赤小玉ねぎ）を潰して作るペースト。野菜スティックやケープムー（豚皮揚げ）と一緒に食べるのが定番。辛いが旨味が強い。
15	ナムプリック・オン (Nam Phrik Ong)	料理(Dish)	全域	★3	市場	通年	#ディップ, #トマトベース, #ミートソース風	トマトと豚ひき肉を使った、辛くないナムプリック。ミートソースに似た味わいで、日本人にも非常に馴染みやすい。
16	ケープ・ムー (Khaep Mu)	食材(Food)	全域	★3	市場/土産店	通年	#豚皮揚げ, #スナック, #必須アイテム	豚の皮をカリカリに揚げたもの。脂付き（ติดมัน）と脂なし（ไร้มัน）がある。ナムプリックを掬って食べるスプーン代わりにもなる。
17	パック・チェンダー (Phak Chiangda)	食材(Food)	全域	★4	市場/レストラン	通年	#ギムネマ, #健康野菜, #苦味	「糖の吸収を抑える」として有名なギムネマの葉。北タイでは卵炒めやスープとして日常的に食べられる。独特の苦味があるが、慣れると癖になる大人の味。
18	カオ・ソーイ・ノイ (Khao Soi Noi)	料理(Dish)	国境付近/イベント	★5	市場/祭り	通年	#ピザ風, #蒸し料理, #珍しい	「カオソーイ」と名がつくが麺料理ではない。米粉の液を皿に入れて蒸し、野菜やタレをかけて食べる「蒸しクレープ/ピザ」のようなスナック。
19	ウーロン茶 No.12 (Jin Xuan)	茶・珈琲(Tea)	メーサロン/ドイチャン	★3	茶園/土産店	通年	#金萱茶, #ミルキー, #定番	チェンライの茶畑で最も多く栽培されている品種。ミルクのような甘い香りと、すっきりした味わいが特徴。品質が安定しており、最初のお土産として最適。
20	ウーロン茶 No.17 (Ruan Zhi)	茶・珈琲(Tea)	メーサロン	★4	茶園	通年	#軟枝, #高級, #清涼感	No.12より栽培が難しく収量が少ない高級品種。蘭の花のような清涼感のある香りと、長く続く余韻が特徴。お茶好きに贈るならこちら。
21	コーヒーの花茶 (Coffee Blossom Tea)	茶・珈琲(Tea)	ドイチャン	★5	農園直営/カフェ	数量限定	#希少, #ジャスミン香, #ノンカフェイン	コーヒーの実がなる前の白い花を乾燥させたお茶。開花時期は短く、収穫量も極めて少ない。ジャスミンのような優雅な香りと蜂蜜のような甘みがある。
22	カスカラ (Cascara / Coffee Cherry Tea)	茶・珈琲(Tea)	ドイチャン	★4	カフェ	通年	#サステナブル, #フルーティー, #抗酸化	コーヒー豆を取り出した後の「果肉と皮」を乾燥させたお茶。ローズヒップやハイビスカスのような酸味と甘みがあり、ポリフェノールが豊富。
23	ドイ・パンコン・コーヒー豆	茶・珈琲(Tea)	ドイパンコン	★4	専門店/カフェ	収穫:冬	#スペシャルティ, #新進気鋭, #フルーティー	ドイチャンだけでなく、近年注目されている産地。特にプロセス（発酵方法）に凝った農園が多く、ベリーやワインのような風味の豆が見つかる。
24	古樹茶 (Ancient Tea)	茶・珈琲(Tea)	山間部	★5	専門店	通年	#野生茶, #プーアル茶, #エナジー	森の中に自生する樹齢数百年のお茶の木から作られたお茶（主にアッサム種）。ワイルドで力強い味わいがあり、熟成させるとプーアル茶のような深みが出る。
25	銀毫 (Silver Needle)	茶・珈琲(Tea)	メーサロン	★5	茶園	春	#白茶, #最高級, #繊細	新芽のみを手摘みで作る最高級の白茶。産毛に覆われた針のような見た目。味は極めて繊細で甘く、渋みは一切ない。
26	ドイ・ディン・ダン陶器 (Doi Din Dang)	工芸(Craft)	ムアン(北部)	★4	工房直営	通年	#現代陶芸, #ソムラック・パンティブン, #日本で修行	チェンライ出身の陶芸家ソムラック氏（日本の唐津で修行）が手がける陶器。地元の赤土や灰釉を使い、素朴ながらモダンなデザインが特徴。工房は森の中にあり、カフェも併設されている。
27	タイ・ルー族の織物 (Tai Lue Textile)	工芸(Craft)	チェンコン/東部	★4	村の工房	通年	#手織り, #幾何学模様, #藍染	ラオス国境に近い東部エリア（チェンコン・ウィアンケーン）に多いタイ・ルー族の伝統織物。「流水」や「花」を模した複雑な紋様（ジョック織り）は芸術品レベル。タペストリーやスカートとして人気。
28	サー紙 (Saa Paper)	工芸(Craft)	ムアン/メーサイ近郊	★3	工房/土産店	通年	#手漉き紙, #和紙風, #インテリア	「梶の木」の繊維から作られる手漉き紙。日本の和紙に似ているが、より繊維が太く野性味がある。花びらや葉を漉き込んだものはランプシェードやノートとして加工され、丈夫で長持ちする。
29	アカ族の頭飾り/刺繍 (Akha Headdress)	工芸(Craft)	山間部	★5	村/博物館	通年	#シルバーコイン, #極彩色, #民族衣装	アカ族の女性が身につける、銀貨やビーズで飾られた兜のような頭飾り。村ごとにデザインが異なり、重いものほどステータスが高い。古い銀貨が使われているヴィンテージ品は収集家に高値で取引される。
30	竹細工のカゴ/ザル (Bamboo Basketry)	工芸(Craft)	全域	★3	市場/道端	通年	#日用品, #カオニャオ入れ, #頑丈	もち米を入れる「クラティップ」や、収穫用の背負いカゴ。プラスチック製が増える中、年配の職人が編む竹製品は燻した香りが良く、虫がつかないよう処理されている。
31	カレン族の銀細工 (Karen Silver)	工芸(Craft)	ルアムミット/山間部	★4	村/ナイトバザール	通年	#純度高い, #ハンドメイド, #刻印	カレン族の村で作られる高純度（95-99%）のシルバーアクセサリー。機械を使わずハンマーで叩いて模様をつけるため、温かみのあるマットな質感が特徴。「パドゥア（象の目）」などの吉祥模様が多い。
32	トゥン (Tung / Lanna Flag)	文化(Culture)	全域	★3	寺院/市場	儀式/祭り	#旗, #仏教美術, #切り絵	寺院の儀式や葬儀で使われる長い旗。紙や布で作られ、切り絵のような透かし模様が美しい。「天国への階段」を意味し、功徳を積むために奉納される。インテリアとして飾るカフェも増えている。
33	ヤーム (Yaam / Shoulder Bag)	工芸(Craft)	全域	★3	市場	通年	#布バッグ, #丈夫, #ヒッピー	山岳民族や農民が使う伝統的な肩掛けバッグ。織り柄が美しく、非常に丈夫でマチが広い。現代風にアレンジされたデザインも多く、街歩き用のサブバッグとして優秀。
34	ほうき草の座敷箒 (Grass Broom)	工芸(Craft)	全域(特に東部)	★3	道端の売店	冬〜春	#掃除道具, #名産, #実用的	「ドーク・ヤー（草の花）」で作られた手作りの箒。チェンライ〜パヤオ間の道路沿いには専門店が並ぶ。穂先が柔らかく細かい埃をよく取るため、タイ全土から買いに来る人がいる。
35	竹炭・木酢液 (Bamboo Charcoal)	工芸(Craft)	ムアン/ドイチャン	★3	農園/Otop	通年	#消臭, #浄化, #サステナブル	竹林が多いチェンライでは、質の良い竹炭が作られている。飲料水の浄化用、部屋の消臭用、または農業用の土壌改良材として販売。竹酢液は虫除けとして人気。
36	ロット・ドゥアン (Bamboo Worm)	食材(Food)	山間部	★4	市場/屋台	雨季	#揚げ物, #昆虫食, #初心者向け	「竹の中に住む芋虫」。揚げるとフライドポテトのようなサクサクした食感と香ばしさがあり、昆虫食の中でも最も食べやすい。「エクスプレス（急行列車）」という愛称で呼ばれる高級珍味。
37	カイ・モット・デーン (Red Ant Eggs)	食材(Food)	全域	★5	市場	3月〜5月	#季節限定, #高級食材, #クリーミー	赤蟻の卵。プチッとした食感と、濃厚なクリームのような甘み・酸味がある。スープ（ゲーン）や卵焼き、ラープにして食べる夏の風物詩。価格は肉より高いことが多い。
38	パック・ワーン・パー (Melientha)	食材(Food)	山間部	★4	市場	3月〜5月	#森の野菜, #甘い葉, #蟻の卵とセット	「森の甘い野菜」の意。山火事の後の新芽が最も美味しいとされる。独特の甘みと旨味があり、カイ・モット・デーンと一緒にスープにするのが黄金の組み合わせ。
39	ナム・プー (Nam Pu)	食材(Food)	全域	★4	市場	雨季	#蟹ペースト, #黒い, #旨味爆弾	田んぼの沢蟹を潰して発酵させ、長時間煮詰めた真っ黒なペースト。強烈な蟹の香りと旨味がある。筍の煮物に入れたり、もち米につけるディップ（ナムプリック・ナムプー）として使う。
40	プラ・ソム (Pla Som)	料理(Dish)	パーン郡	★4	市場/道端	通年	#発酵魚, #酸味, #パーン郡名物	淡水魚とお米を発酵させた保存食。チェンライ南部のパーン郡が名産地で、国道沿いに専門店が並ぶ。揚げてニンニクチップと唐辛子を添えて食べると、酸味が効いてご飯が止まらない。
41	カオ・プック (Khao Puk Nga)	菓子(Snack)	山間部/朝市	★4	朝市/屋台	冬(11-2月)	#餅, #黒胡麻, #冬の味覚	蒸したもち米と黒胡麻（エゴマ）を混ぜてつき、薄く伸ばしたお餅。炭火で焼き、砂糖やサトウキビの蜜をかけて食べる。冬の朝市や山頂のキャンプ地で見かける温かいスナック。
42	カオ・クワップ (Khao Kwup)	菓子(Snack)	全域	★3	市場/商店	通年	#煎餅, #軽い, #保存食	もち米と胡麻、砂糖、時にはフルーツの果肉を混ぜて乾燥させ、炙った薄焼き煎餅。パリパリとして軽く、素朴な甘さがある。お茶請けとして優秀。
43	カノム・ジョック (Khanom Jok)	菓子(Snack)	全域	★3	市場	通年	#ちまき, #ピラミッド型, #甘辛	バナナの葉でピラミッド型に包まれたお餅。中身は甘いココナッツ（サイ・ワーン）か、塩胡椒が効いた豆餡（サイ・ケム）がある。中国のちまきやお餅の影響を受けた北タイ菓子。
44	ミヤン (Miang / Fermented Tea Leaf)	食材(Food)	山間部	★5	村/市場	通年	#食べるお茶, #覚醒作用, #伝統	発酵させた茶葉（アッサム種）。塩や生姜を包んでガムのように噛む嗜好品。カフェインが強く、農作業の合間の眠気覚ましとして古くから親しまれている。
45	カオ・タン (Khao Tan)	菓子(Snack)	全域	★3	土産店	通年	#雷おこし, #スイカジュース, #定番土産	もち米を丸く成形して乾燥させ、揚げてから黒糖シロップ（ナーム・オイ）をかけたお菓子。生地にスイカジュースを混ぜるのが伝統レシピで、サクサクの食感と香ばしさが特徴。
46	ケープ・グースベリー (Cape Gooseberry)	農産物(Agri)	ドイチャン等	★3	市場/スーパー	冬	#ロイヤルプロジェクト, #食用ほおずき, #甘酸っぱい	黄色いプチトマトのような見た目の「食用ほおずき」。袋状の皮を剥いて食べる。独特の芳香と甘酸っぱさがあり、ジャムやジュースにも加工される。ビタミン豊富。
47	パッションフルーツ (Passion Fruit)	農産物(Agri)	山間部	★3	市場/道端	夏〜雨季	#ビタミンC, #強烈な酸味, #ジュース	紫色の皮の品種が主流。半分に切ってスプーンで種ごと食べるか、ジュースにする。チェンライの直売所では1袋100円程度で大量に買える。疲労回復に最適。
48	マルベリー (Mulberry)	農産物(Agri)	全域	★3	市場/農園	冬〜春	#桑の実, #スーパーフード, #ジャム	桑の実。生食用の品種は甘酸っぱくて黒紫色が濃い。足が早いため、市場で見かけたら即買い推奨。ジャムやワインに加工されたものは通年入手可能。
49	チェンライ産はちみつ (Wild Honey)	農産物(Agri)	山間部	★4	農園/Otop	春(収穫)	#百花蜜, #コーヒーの花, #ロンガン	自然豊かなチェンライは養蜂も盛ん。「ロンガンの花」「コーヒーの花」「野生の花（百花蜜）」など蜜源によって味が全く異なる。4〜5月に採れる蜜が最も水分が少なく高品質とされる。
50	ロイヤルプロジェクト・イチゴ (Strawberry 80)	農産物(Agri)	ドイトゥン周辺	★3	道端/市場	12月〜2月	#冬限定, #甘い, #御用達	「Pharatchatan 80」という品種が主流。日本のイチゴに負けない甘さと香りを持つ。寒い時期に山へ向かう道端で、農家が直売している完熟イチゴは格別。
