ID	銘柄名	タイ文字表記	タイ文字表記区分	名称の要点	ジャンル	酒類大分類	産地	主原料	度数(ABV・目安)	味わい	おすすめの飲み方	レア度	製造者・ブランド	確認状態	タイ語検索判定	推奨対応	精査メモ	出典URL	Google画像検索URL	公開用解説
11	Elevated Vodka	เอลิเวเต็ด วอดก้า	検索補助音写（公式名は英字）	Sanpatong Distilleryのウォッカ	ウォッカ	蒸留酒	サンパトーン郡、チェンマイ	タピオカ	40%			専門店・蒸留所	Sanpatong Distillery	確認済み	公式タイ語サイトで商品仕様を確認	掲載候補	公式名が英字のため、タイ文字は画像検索用の音写。	https://sanpatong.com/th	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AD%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%94%20%E0%B8%A7%E0%B8%AD%E0%B8%94%E0%B8%81%E0%B9%89%E0%B8%B2%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Elevated Vodka（เอลิเวเต็ด วอดก้า）は、サンパトーン郡、チェンマイに関連するウォッカ。Sanpatong Distilleryのウォッカ。
12	Lychee Eau de Vie	ลิ้นจี่ โอ เดอ วี	検索補助音写（公式名は英字）	ライチを原料とする透明なフルーツブランデー	オー・ド・ヴィー	蒸留酒	サンパトーン郡、チェンマイ	ライチ	40%			専門店・蒸留所	Sanpatong Distillery	確認済み	公式タイ語サイトで商品仕様を確認	掲載候補	公式名が英字のため、タイ文字は画像検索用の音写。	https://sanpatong.com/th	https://www.google.com/search?tbm=isch&q=%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%88%E0%B8%B5%E0%B9%88%20%E0%B9%82%E0%B8%AD%20%E0%B9%80%E0%B8%94%E0%B8%AD%20%E0%B8%A7%E0%B8%B5%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Lychee Eau de Vie（ลิ้นจี่ โอ เดอ วี）は、サンパトーン郡、チェンマイに関連するオー・ド・ヴィー。ライチを原料とする透明なフルーツブランデー。
13	Mekhong	แม่โขง	公式タイ語表記	1941年に登場したタイの代表的銘柄	タイ・スピリッツ	蒸留酒	タイ	糖蜜、米				全国流通	Mekhong / ThaiBev	確認済み	公式タイ語サイトで確認	掲載候補	地域酒比較の基準として残す全国銘柄。北タイ産とは扱わない。	https://www.mekhong.com/index_th.html	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B9%82%E0%B8%82%E0%B8%87%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Mekhong（แม่โขง）は、タイに関連するタイ・スピリッツ。1941年に登場したタイの代表的銘柄。
14	Hong Thong	หงส์ทอง	公式タイ語表記	「金の白鳥」を意味する全国流通銘柄	ブレンデッドスピリッツ	蒸留酒	タイ					全国流通	Hong Thong / ThaiBev	確認済み	公式サイトで確認	掲載候補	旧版にあったClear版は確認できないため統合・削除。	https://www.hongthong.com/	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Hong Thong（หงส์ทอง）は、タイに関連するブレンデッドスピリッツ。「金の白鳥」を意味する全国流通銘柄。
15	Ruang Khao	รวงข้าว	公式タイ語表記	稲穂を意味する名称の白酒	白酒	蒸留酒	タイ					全国流通	ThaiBev	確認済み	製造者公式ブランド情報で確認	掲載候補	北タイ限定ではない全国銘柄。	https://www.thaibev.com/aboutus/thaibev?select_about=1&select_tab=2	https://www.google.com/search?tbm=isch&q=%E0%B8%A3%E0%B8%A7%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Ruang Khao（รวงข้าว）は、タイに関連する白酒。稲穂を意味する名称の白酒。
16	Niyom Thai	นิยมไทย	公式タイ語表記	「タイで好まれる」の意をもつ白酒銘柄	白酒	蒸留酒	タイ					全国流通	ThaiBev	確認済み	製造者公式ブランド情報で確認	掲載候補	北タイ限定ではない全国銘柄。	https://www.thaibev.com/aboutus/thaibev?select_about=1&select_tab=2	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B4%E0%B8%A2%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Niyom Thai（นิยมไทย）は、タイに関連する白酒。「タイで好まれる」の意をもつ白酒銘柄。
17	SangSom	แสงโสม	公式タイ語表記	タイを代表するラム系銘柄	ラム	蒸留酒	タイ	糖蜜				全国流通	SangSom / ThaiBev	確認済み	公式サイトで確認	掲載候補	地域限定品ではないが、タイ酒の基礎銘柄として採用。	https://sangsom.com/th/story/	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B9%82%E0%B8%AA%E0%B8%A1%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	SangSom（แสงโสม）は、タイに関連するラム。タイを代表するラム系銘柄。
18	Grandma Jinn Recipe No.1	แกรนด์มา จินน์ เรซิพี นัมเบอร์ 1	検索補助音写（公式名は英字）	タイ産クラフトジン	ジン	蒸留酒	タイ					専門店	Lamai Distilleries	確認済み	公式取扱ページで実在を確認	掲載候補	北タイ産という旧説明は削除。産地をタイ国内以上に限定しない。	https://www.bootleggerstrading.com/product/gin/grandma-jinn	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%A1%E0%B8%B2%20%E0%B8%88%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%8C%20%E0%B9%80%E0%B8%A3%E0%B8%8B%E0%B8%B4%E0%B8%9E%E0%B8%B5%20%E0%B8%99%E0%B8%B1%E0%B8%A1%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%201%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Grandma Jinn Recipe No.1（แกรนด์มา จินน์ เรซิพี นัมเบอร์ 1）は、タイに関連するジン。タイ産クラフトジン。
19	Assa Dong	อัสดง	タイ語記事で確認	ナーン県の地域酒として紹介される銘柄	地域酒		ナーン					地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	商品詳細は未確認のため空欄を維持。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%AD%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%87%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Assa Dong（อัสดง）は、ナーンに関連する地域酒。ナーン県の地域酒として紹介される銘柄。
20	Prachachuen Group	กลุ่มประชาชื่น	タイ語記事で確認	ナーン県の地域酒生産グループ	地域酒		ナーン					地域限定	กลุ่มประชาชื่น	確認済み	タイ語報道で名称と県を確認	掲載候補	個別商品名ではなく生産グループ名として収録。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%A5%E0%B8%B8%E0%B9%88%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%99%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Prachachuen Group（กลุ่มประชาชื่น）は、ナーンに関連する地域酒。ナーン県の地域酒生産グループ。
21	Maw	เหม๊าะ	タイ語記事で確認	ナーン県の地域酒として紹介される銘柄	地域酒		ナーン					地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	短い名称のため画像検索では「สุรา น่าน」を併記。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B9%8A%E0%B8%B2%E0%B8%B0%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2%20%E0%B8%99%E0%B9%88%E0%B8%B2%E0%B8%99	Maw（เหม๊าะ）は、ナーンに関連する地域酒。ナーン県の地域酒として紹介される銘柄。
22	Jan Peng	จันเป๋ง	タイ語記事で確認	ラムプーン県の地域酒として紹介される銘柄	地域酒		ラムプーン					地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	商品詳細は未確認のため空欄を維持。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%87%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Jan Peng（จันเป๋ง）は、ラムプーンに関連する地域酒。ラムプーン県の地域酒として紹介される銘柄。
23	Bamroe	บำเรอ	タイ語記事で確認	チェンライ県の地域酒として紹介される銘柄	地域酒		チェンライ					地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	一般語でもあるため画像検索では「สุรา เชียงราย」を併記。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%9A%E0%B8%B3%E0%B9%80%E0%B8%A3%E0%B8%AD%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2%20%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2	Bamroe（บำเรอ）は、チェンライに関連する地域酒。チェンライ県の地域酒として紹介される銘柄。
24	Kilo Spirits	กิโลสปิริต	タイ語記事で確認	クラビ県のクラフト蒸留酒ブランド	クラフトスピリッツ	蒸留酒	クラビ					地域限定	Kilo Spirits	確認済み	タイ語報道でブランドと県を確認	掲載候補	旧版の北タイ扱いを修正し、クラビ産として収録。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%B4%E0%B9%82%E0%B8%A5%E0%B8%AA%E0%B8%9B%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%95%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Kilo Spirits（กิโลสปิริต）は、クラビに関連するクラフトスピリッツ。クラビ県のクラフト蒸留酒ブランド。
25	Siam Sato	สยามสาโท	タイ語記事で確認	ナコーンラーチャシーマー県のサトーブランド	サトー	醸造酒	ナコーンラーチャシーマー	米				地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	米の醸造酒という分類以上の詳細は推測しない。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B2%E0%B9%82%E0%B8%97%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Siam Sato（สยามสาโท）は、ナコーンラーチャシーマーに関連するサトー。ナコーンラーチャシーマー県のサトーブランド。
26	Onson	ออนซอน	タイ語記事で確認	サコンナコーン県の地域酒として紹介される銘柄	地域酒		サコンナコーン					地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	商品詳細は未確認のため空欄を維持。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%AD%E0%B8%99%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Onson（ออนซอน）は、サコンナコーンに関連する地域酒。サコンナコーン県の地域酒として紹介される銘柄。
27	White Shark	ไวต์ชาร์ค	タイ語記事で確認	チョンブリー県の地域酒として紹介される銘柄	地域酒		チョンブリー					地域限定		確認済み	タイ語報道で銘柄と県を確認	掲載候補	英字公式綴りの細部は今後公式資料が見つかれば更新。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%95%E0%B9%8C%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	White Shark（ไวต์ชาร์ค）は、チョンブリーに関連する地域酒。チョンブリー県の地域酒として紹介される銘柄。
