ID	出来事・キーワード	時代区分	カテゴリ	タグ	関連年	重要度	日本人への示唆・面白さ	詳細説明	現代の関連スポット
TH-014	ラーンナー文字（タム文字）	ラーンナー	文化・食	文字,仏教	1300	★4	中央のタイ文字とは全く異なる丸みを帯びた美しい文字。独自の文化圏を形成していた証拠。	主に仏教の経典（タム）を記すために使われた北部の文字。モン文字に由来し、現在のビルマ文字にも似た独特の丸みを持つ。	北部地方の古い寺院の経典
TH-015	メンラーイ法典	ラーンナー	政治・外交	法律,統治	1300	★3	武力だけでなく「法」によって国を治めようとした。日本の御成敗式目（1232年）とほぼ同時期に作られた点に注目。	メンラーイ王が制定したラーンナー独自の法典。農業、奴隷制度、家族法などを規定し、北部の社会秩序の基盤となった。	チェンマイ大学ラーンナー調査センター
TH-016	エメラルド仏の発見	ラーンナー	文化・食	仏教,伝説	1434	★5	現在バンコクにあるタイ最高の仏像が、実は北部のチェンライで雷が落ちた仏塔から偶然発見されたという数奇な運命。	チェンライのワット・パーヤップ（現ワット・プラケオ）の仏塔に落雷があり、中から漆喰に覆われたエメラルド仏（実際は翡翠）が発見された。	ワット・プラケオ（チェンライ）
TH-017	ワット・プラタート・ドイステープ	ラーンナー	文化・食	仏教,建築	1383	★4	白い象が仏舎利（ブッダの遺骨）を運んで倒れた場所に寺を建てた伝説。北部タイ人の深い信仰の象徴。	チェンマイを見下ろす山頂に建つラーンナー様式を代表する黄金の寺院。クーナー王によって建立された。	ドイステープ山（チェンマイ）
TH-018	ラーンナー黄金時代（ティローカラート王）	ラーンナー	政治・外交	繁栄,王制	1441	★4	南のアユタヤ王朝と互角に戦い、北の覇者として君臨。独自の仏教会議（結集）を開くなど文化の最盛期。	第9代国王。領土を最大に広げ、アユタヤのトライローカナート王と長年にわたり覇権を争った。第8回仏教結集をチェンマイで開催。	ワット・チェットヨート（チェンマイ）
TH-019	ビルマ（タウングー朝）によるラーンナー征服	ラーンナー	政治・外交	戦争,ビルマ	1558	★4	ここから約200年間、北部はビルマの支配下に入る。現在の北部タイの食や文化にミャンマーの影響が色濃い理由。	ビルマのバインナウン王によりチェンマイが陥落。以降、ラーンナーはビルマの属国となり、独特の混合文化が形成されていく。	チェンマイ市内各所のビルマ様式仏塔
TH-020	ガラエ建築と北部の生活様式	ラーンナー	文化・食	建築,生活	1500	★3	屋根の交差した角（ガラエ）が特徴。日本の合掌造りや千木（ちぎ）にも似た、木造建築の美しさ。	ラーンナー地方特有の木造家屋様式。屋根のV字型の装飾（ガラエ）は、水牛の角を模したものとも言われ、独特の景観を作る。	チェンマイ大学ラーンナー伝統家屋博物館
TH-021	アユタヤ王朝の成立（ウートーン王）	アユタヤ	政治・外交	建国,都市	1350	★5	チャオプラヤー川中流域の島に築かれた水の都。ここから約400年続く、タイ史上最も長く栄えた王朝。	ウートーン王（ラーマーティボーディー1世）がアユタヤに都を建設。スコータイを吸収し、強力な中央集権国家の基礎を築いた。	アユタヤ歴史公園
TH-022	マオラモン（神王）思想の導入	アユタヤ	政治・外交	思想,王制	1350	★4	スコータイの「親しみやすい王」から、クメール文化を取り入れた「神として絶対的な権力を持つ王」への変化。	アンコール朝のヒンドゥー教的な神王思想を取り入れ、王を神格化。厳格な宮廷儀礼や王室専用語（ラチャサップ）が整備された。	アユタヤ王宮跡
TH-023	サックディナー制度の確立	アユタヤ	政治・外交	社会,法律	1454	★5	全国民を「授与される土地の面積（サックディナー）」でランク付けする身分制度。日本の石高制（江戸時代）に近い発想。	トライローカナート王が制定。身分に応じて数値（土地のライ数）が割り当てられ、社会階層と義務、罰則の基準が明確化された。	（概念上の制度であり特定の史跡なし）
TH-024	ポルトガル人の到来と鉄砲の伝来	アユタヤ	政治・外交	欧州,交易	1511	★4	日本への鉄砲伝来（1543年）より少し早い。東南アジアの戦国時代において、西洋の武器が戦局を大きく変えた。	マラッカを占領したポルトガル使節がアユタヤを訪問。西欧人初の接触であり、銃砲や傭兵の提供、キリスト教の布教が始まった。	ポルトガル人村跡（アユタヤ）
TH-025	オランダ東インド会社（VOC）の進出	アユタヤ	政治・外交	欧州,交易	1604	★4	長崎の出島と同じように、アユタヤにもオランダ商館が置かれた。鹿皮や香木がここから日本へ運ばれた。	ポルトガルに代わり海上の覇権を握ったオランダがアユタヤに商館を建設。王室の専売制のもとで莫大な利益を上げた。	オランダ人村跡（バーン・ホランダ）
TH-026	フランス使節団とナーラーイ王	アユタヤ	政治・外交	欧州,外交	1685	★5	ルイ14世の使節団がアユタヤへ。ベルサイユ宮殿を模した離宮を作るなど、西欧文化が花開いた国際化のピーク。	オランダの牽制のため、ナーラーイ王はフランスに接近。双方が使節団を派遣し合い、アユタヤ宮廷は国際色豊かな外交舞台となった。	ロッブリー（ナーラーイ王の離宮跡）
TH-027	コンスタンティン・フォールコンの台頭	アユタヤ	政治・外交	欧州,人物	1680	★4	ギリシャ人の水夫がタイの最高大臣にまで上り詰めた数奇な物語。日本の「三浦按針（ウィリアム・アダムス）」以上の権力者。	語学力と商才でナーラーイ王の寵愛を受け、外交や貿易を実質的に牛耳る。フランス軍の駐留を主導したため保守派の反発を買う。	フォールコンの邸宅跡（ロッブリー）
TH-028	1688年の革命（鎖国への転換）	アユタヤ	政治・外交	クーデター,外交	1688	★5	外国の干渉を恐れた保守派がクーデターを起こし、フォールコンを処刑。日本の「鎖国」に似た対外閉鎖政策へ転換した。	ナーラーイ王の病に乗じて、軍司令官のペートラーチャーが実権を掌握。フランス軍を追放し、以降約150年間、西洋との国交を絶つ。	ワット・プラシーサンペット周辺
TH-029	中国のジャンク船貿易の繁栄	アユタヤ	政治・外交	交易,中国	1700	★4	西洋人を追い出した後も、中国（清）との交易は盛んに行われた。タイの経済と食文化に華人が深く入り込む基盤。	西洋との国交は絶ったが、中国や日本とのアジア内交易は継続。華人の商人がアユタヤの経済を支える重要な存在となった。	ワット・パナンチューン（アユタヤの華人信仰）
TH-030	アユタヤの運河と水上交通網	アユタヤ	文化・食	都市,生活	1500	★3	「東洋のベニス」と呼ばれた水網都市。現代のバンコクの運河網（クロン）の原型がここで完成していた。	島であるアユタヤ内部に縦横無尽に運河が掘られ、交通や物資の輸送は主に小舟で行われた。雨季の洪水対策でもあった。	アユタヤ市内の運河クルーズ
TH-031	朱印船貿易と日タイ関係の始まり	日タイ関係	政治・外交	交易,日本	1590	★5	徳川家康の時代、東南アジアとの貿易が活発化。日本の銀や銅と、タイの鹿皮・蘇木・鮫皮などが交換された。	江戸幕府が発行した朱印状を持った船がアユタヤへ渡航。アユタヤは東南アジアにおける朱印船の最大の寄港地の一つだった。	長崎歴史文化博物館（朱印船の資料）
TH-032	アユタヤ日本人町の形成（バーン・イープン）	日タイ関係	社会	社会,日本	1600	★5	最盛期には数千人の日本人が暮らした。キリシタンの迫害から逃れた人々や、関ヶ原の戦い後の浪人など多様な顔ぶれ。	アユタヤ城外のチャオプラヤー川沿いに形成された日本人居留区。独自の自治権を持ち、貿易商と傭兵の二面性を持っていた。	日本人村跡（アユタヤ）
TH-033	山田長政の渡海と立身出世	日タイ関係	政治・外交	人物,日本	1612	★5	駿河（静岡）出身とされる若者が、異国で義勇兵のトップに立ち、ついには大名クラス（オークヤー）にまで出世したロマン。	朱印船でアユタヤに渡り、日本人義勇兵のリーダーとなる。ソンタム王の信任を得て宮廷の重要人物へとのし上がった。	静岡浅間神社（山田長政像）
TH-034	日本人義勇兵（クロム・アーサー・イープン）	日タイ関係	政治・外交	軍事,日本	1610	★4	日本の浪人たちは「戦国時代の死線」をくぐり抜けた戦闘のプロ。タイの王室の近衛兵や外敵との戦いで重用された。	日本人町に住む浪人を中心に組織された傭兵部隊。日本刀と鉄砲を使いこなし、ビルマ軍との戦闘などで高い戦闘力を発揮した。	日本人村跡の展示館
TH-035	山田長政、オークヤー・セーナーピムックに昇進	日タイ関係	政治・外交	人物,政治	1628	★4	外国人がタイの宮廷で最高位の爵位を得る稀有な事例。日タイの歴史的結びつきを語る上で欠かせないピーク。	ソンタム王の死後、王位継承争いで重要な役割を果たし、最高位の爵位とリゴール（現在のナコンシータマラート）の知事職を与えられた。	ナコンシータマラート（長政赴任の地）
TH-036	リゴール（ナコンシータマラート）の反乱鎮圧	日タイ関係	政治・外交	戦争,日本	1630	★3	中央の政争から遠ざけられる形での左遷。長政は南部に出向き、反乱を鎮圧するも負傷する。	アユタヤの実権を握ったプラーサートトーン王によって、政敵である長政は南部のリゴールの反乱鎮圧を命じられ、事実上追放された。	ワット・プラマハタート（ナコンシータマラート）
TH-037	山田長政の毒殺事件	日タイ関係	政治・外交	暗殺,人物	1630	★4	英雄のあっけない最期。傷の治療のために塗られた薬が毒であったという、陰謀渦巻く宮廷ドラマの結末。	戦闘で足に傷を負った長政は、プラーサートトーン王の密命を受けた弟（または現地の有力者）によって毒の膏薬を塗られ、暗殺された。	（特定の史跡なし）
TH-038	日本人町の焼き討ちと弾圧	日タイ関係	政治・外交	事件,日本	1630	★5	長政の死後、日本の勢力を恐れたタイ王室による徹底的な弾圧。多くの日本人がカンボジアなどへ逃亡した。	長政の暗殺直後、プラーサートトーン王は日本人義勇兵の反乱を恐れ、日本人町を奇襲して焼き払った。	日本人村跡の記念碑
TH-039	日本人町の再建とその後	日タイ関係	社会	復興,日本	1633	★3	焼き討ち後、約3〜400人の日本人が戻り町を再建。しかし、かつての軍事的な力は失われ、純粋な商人町となった。	タイ側も日本との貿易再開を望んだため、逃亡した日本人の帰還を許した。しかし、徳川幕府の鎖国政策により交流は先細りとなる。	アユタヤ歴史研究センター
TH-040	日本の「鎖国」による日タイ交流の断絶	日タイ関係	政治・外交	鎖国,衰退	1639	★4	幕府の鎖国令により、アユタヤの日本人は帰国不能に。現地に同化し、日タイの直接的な政治交流は明治時代まで途絶える。	日本からの朱印船の渡航が禁止され、日本人町への人員補充が途絶えた。残された日本人はタイ社会に同化していった。	（概念的な歴史の転換点）
TH-041	第一次アユタヤ陥落（ビルマ・タウングー朝）	ビルマ戦役	政治・外交	戦争,ビルマ	1569	★5	難攻不落の水の都が初めて落城。この時、北部のラーンナー王国もビルマ支配下であり、タイ族にとって最大の危機だった。	ビルマの英雄バインナウン王による侵攻。内部の裏切りもありアユタヤは陥落、約15年間にわたりビルマの属国となる。	アユタヤ城壁跡
TH-042	ナレースアン大王の独立宣言	ビルマ戦役	政治・外交	独立,英雄	1584	★5	タイの歴史上、最も人気のある救国の英雄。人質から立ち上がり、ビルマ軍を打ち破って独立を回復した。	ビルマに人質として送られていたナレースアンが、隙を突いて独立を宣言。圧倒的な兵力差をゲリラ戦などで跳ね返した。	ワット・ヤイチャイモンコン（アユタヤ）
TH-043	伝説の「象撃ち（ドンジェーディーの戦い）」	ビルマ戦役	政治・外交	戦争,伝説	1593	★4	ナレースアン大王がビルマの副王と「象に乗った一騎打ち」で勝利したとされる、映画のクライマックスのような名場面。	スパンブリー県付近で両軍が激突。ナレースアンがビルマのミンチースワー副王を象上での一騎打ち（トンユット）で討ち取ったとされる。	ドンジェーディー記念塔（スパンブリー）
TH-044	17世紀から18世紀前半の平和と繁栄	ビルマ戦役	社会	文化,繁栄	1650	★3	ナレースアン大王の活躍後、約150年間はビルマとの大規模な戦争がなく、文学や芸術、国際交易が爛漫と咲き誇った。	外部の脅威が減ったことで、アユタヤ後期は文化の円熟期を迎える。ボーロマコート王の治世などが文化の黄金期とされる。	ワット・チャイワッタナーラーム
TH-045	ビルマ・コンバウン朝（アラウンパヤー王）の侵攻	ビルマ戦役	政治・外交	戦争,ビルマ	1760	★4	平和に慣れきったアユタヤに再び迫るビルマの脅威。アラウンパヤー王はアユタヤ包囲中に大砲の暴発で事故死するが、危機は去らず。	ビルマで新たに興ったコンバウン朝が強大化し、再びアユタヤへ侵攻。一時的な撤退はあったものの、本格的な侵略の始まりとなった。	（歴史的経緯）
TH-046	バーンラチャンの村人たちの抵抗	ビルマ戦役	社会	英雄,民間	1765	★4	タイ版「スパルタの300」。正規軍が頼りない中、農民たちが武器を手に取り、ビルマの大軍を数ヶ月足止めした愛国神話。	シンブリー県のバーンラチャン村の住民が、迫りくるビルマ軍に対し独自の陣地を築き、命がけのゲリラ戦で抵抗を続けた伝説的逸話。	バーンラチャン英雄記念碑（シンブリー）
TH-047	第二次アユタヤ陥落と徹底破壊	ビルマ戦役	政治・外交	滅亡,破壊	1767	★5	417年続いた栄華の終焉。ビルマ軍は王宮も寺院も徹底的に破壊し、仏像の黄金を溶かして持ち去った。	ビルマ軍の執拗な包囲と放火によりアユタヤは完全に陥落。多くの王族や職人がビルマへ連れ去られ、アユタヤ王朝は滅亡した。	アユタヤ歴史公園（首のない仏像群）
TH-048	歴史書と文化遺産の喪失	ビルマ戦役	文化・食	文化,喪失	1767	★4	タイの歴史を紐解くのが難しい最大の理由。この時の火災で、アユタヤ期の歴史書や文学、法律の記録がほぼ全て灰になった。	アユタヤ陥落時の徹底的な略奪と破壊により、王宮の文書庫も焼失。現在のタイ史の多くは、近隣諸国の記録や後世の編纂に頼っている。	（歴史資料の空白）
TH-049	タークシン王による解放とトンブリー建国	ビルマ戦役	政治・外交	復興,建国	1767	★5	アユタヤ滅亡からわずか半年、中華系の将軍タークシンが残存兵を集めてビルマ軍を駆逐し、チャオプラヤー川下流に新たな都を築いた。	アユタヤを脱出したタークシンが東部チャンタブリーで再起。水軍を率いてビルマ軍を撃退し、トンブリー（現バンコク対岸）に新王朝を建てた。	ウォンウィアンヤイのタークシン王像（バンコク）
TH-050	タイ国家の再統一とチャクリ王朝への橋渡し	ビルマ戦役	政治・外交	統一,移行	1770	★4	タークシン王の狂気と処刑という悲劇の結末。しかし、彼が国土を再統一したからこそ、次の現代（バンコク）への道が繋がった。	周辺の勢力を平定し領土を回復したタークシンだったが、晩年に精神を病んだとされクーデターで処刑。部下のチャオプラヤー・チャクリが王位に就く。	ワット・アルン（トンブリー期の王室寺院）
TH-051	バンコク遷都とチャクリ王朝の成立	チャクリ	政治・外交	建国,王制	1782	★5	日本の「江戸幕府開府」に相当。現代まで続く王室（ラーマ1世）が、バンコクを新たな首都として歴史を歩み始めた。	タークシン王を処刑したチャオプラヤー・チャクリが王位に就き（ラーマ1世）、チャオプラヤー川の東岸であるバンコク（クルンテープ）に遷都。王宮とワット・プラケオを建設した。	バンコク王宮（グランドパレス）
TH-052	ワット・ポーとタイ古式マッサージ	チャクリ	文化・食	文化,医療	1788	★3	お寺が「最古の大学（医学部）」だった。タイ古式マッサージの総本山であり、人体図の壁画が残る。	ラーマ1世が建立・改修したバンコク最古の寺院。ラーマ3世の時代に医学や文学の知識が集められ、タイ初の公開大学として機能した。	ワット・ポー（バンコク）
TH-053	ボーリング条約と開国（ラーマ4世）	チャクリ	政治・外交	外交,開国	1855	★4	日本の「黒船来航・日米修好通商条約」のタイ版。不平等条約を結ばされつつも、植民地化を回避するための苦渋の決断。	イギリスの使節ボーリングと締結した通商条約。関税自主権の喪失や治外法権を認める不平等条約であったが、自由貿易圏への参入を意味した。	（条約締結のため特定の史跡なし）
TH-054	ラーマ5世（チュラロンコーン大王）即位	チャクリ	政治・外交	人物,王制	1868	★5	日本の「明治天皇」と全く同じ年に即位（1868年）。両国が同時期に名君のもとで近代化を推し進めた奇跡のシンクロニシティ。	タイ史上最も偉大な王の一人とされる。欧米列強の圧力が高まる中、自ら西洋視察を行い、タイの近代化（チャクリ改革）を主導した。	ラーマ5世騎馬像（バンコク）
TH-055	チャクリ改革（行政の近代化・モントン制）	チャクリ	政治・外交	政治,近代化	1892	★5	日本の「廃藩置県」に相当。地方の王（チェンマイなど）の権力を奪い、中央集権国家を作り上げた。	内務省を創設し、全国を「モントン（州）」に分けて中央から官僚を派遣する制度（テーサーピバーン制）を導入。近代国家の骨格が完成した。	（タイ全土の県庁制度の基礎）
TH-056	奴隷制度の段階的廃止	チャクリ	社会	社会,人権	1905	★5	アメリカの南北戦争のように血を流すことなく、約30年かけて平和裏に奴隷解放を行ったラーマ5世の政治手腕。	当時のタイ人口の約3割が債務奴隷などであったが、ラーマ5世は反乱を防ぐため、身代金の減額などを通じて段階的に奴隷制度を廃止した。	アナンタサマーコム迎賓館
TH-057	タイ初の鉄道網建設	チャクリ	社会	インフラ,近代化	1890	★4	日本の新橋〜横浜間鉄道開通から遅れること約20年。ドイツやイギリスの技術者を招聘し、国土の統治を強化した。	バンコクを起点に、アユタヤや北部（チェンマイ方面）、東北部へ向けて鉄道の敷設を開始。地方集権化（チャクリ改革）と密接に連動していた。	フアランポーン駅（旧バンコク中央駅）
TH-058	英仏の緩衝地帯（バッファー・ステート）	チャクリ	政治・外交	外交,独立維持	1896	★5	西のイギリス領（ビルマ）、東のフランス領（インドシナ）に挟まれながら、見事な「風見鶏外交」で独立を維持した。	英仏両国が直接衝突を避けるため、タイ（シャム）を独立した緩衝国として残すことで合意。巧みな外交バランス感覚が国を救った。	（概念的な外交史）
TH-059	パークナム事件と涙の領土割譲	チャクリ	政治・外交	戦争,フランス	1893	★4	独立維持の代償。タイはフランスの砲艦外交に屈し、メコン川東岸（現在のラオス）などの広大な領土を切り捨てざるを得なかった。	フランスの軍艦がチャオプラヤー川の河口（パークナム）を封鎖し砲撃。シャムは賠償金とラオス・カンボジア方面の宗主権を放棄させられた。	サムットプラーカーン県（要塞跡）
TH-060	ラーンナー王国の終焉とタイへの統合	ラーンナー	政治・外交	ラーンナー,統合	1899	★5	チェンマイやチェンライは元々別の国だったが、この時期に「タイ人」として同化されていく。琉球処分や北海道開拓に似たプロセス。	チャクリ改革のモントン制により、ラーンナーの王（チャオ）の権力は形骸化。バンコクから派遣された官僚による直接統治が開始され、単一国家に組み込まれた。	チェンマイ市立芸術文化センター
TH-061	1932年 立憲革命（絶対王政の終焉）	現代	政治・外交	クーデター,政治	1932	★5	王が絶対的な権力を持つ時代が終わりを告げた。欧州留学組の若手将校や官僚が起こした無血革命。	人民党がクーデターを起こし、ラーマ7世に憲法を受け入れさせて立憲君主制へ移行。ここから軍部と政治の複雑な関係が始まる。	民主記念塔（バンコク）
TH-062	プレーク・ピブーンソンクラームのナショナリズム	現代	政治・外交	政治,人物	1938	★4	国名を「シャム」から「タイ（自由な国）」に変更。独自の文化を強制し、愛国心を煽った独裁的リーダー。	首相に就任したピブーンは、華人排斥や西洋的マナーの強制など強力なナショナリズム政策を推進。日本軍とも手を結ぶことになる。	（国号変更の歴史的背景）
TH-063	国民食「パッタイ」の誕生	現代	文化・食	食文化,政治	1930	★4	実は歴史が浅いパッタイ。米の消費を抑え（輸出に回すため）、麺類を国民に食べさせるというピブーン首相の「国策」で作られた。	ナショナリズム政策の一環として、「タイを炒める（パッタイ）」という名前を付け、屋台にレシピを配布して普及させた人工的な国民食。	全国のパッタイ屋台
TH-064	日本軍の進駐と平和進駐協定	大東亜戦争	政治・外交	戦争,日本	1941	★5	真珠湾攻撃と同じ日、日本軍はタイ南部にも上陸。タイは僅かな抵抗のあと、日本軍の通過を認める協定を結んだ。	太平洋戦争開戦直後、マレー半島（イギリス軍）攻略のため日本軍がタイに進駐。ピブーン政権は戦火を避けるため日本軍の通過と駐留を許可した。	プラチュワップキーリーカン（上陸地点）
TH-065	日泰攻守同盟条約（枢軸国入り）	大東亜戦争	政治・外交	外交,日本	1941	★4	日本のアジアにおける唯一の同盟国となる。タイはアメリカやイギリスに対して宣戦布告を行った。	日本軍の進駐後、優位に立つ日本側へ協力する道を選び同盟を締結。連合国側への宣戦布告を行い、枢軸国陣営として戦争に巻き込まれた。	ワット・リアップ（バンコク・戦時の発電所跡）
TH-066	泰緬鉄道（死の鉄道）の建設	大東亜戦争	社会	戦争,インフラ	1942	★5	映画『戦場にかける橋』の舞台。タイとビルマを結ぶ軍用鉄道建設で、過酷な労働により多くの連合国捕虜やアジア人労務者が命を落とした。	日本軍の補給路として建設。ジャングルと山岳地帯を切り開く突貫工事が行われ、「枕木一本につき一人の死者が出た」と言われるほどの犠牲を出した。	カンチャナブリー（クウェー川鉄橋）
TH-067	抗日地下組織「自由タイ運動（セーリ・タイ）」	大東亜戦争	政治・外交	レジスタンス,外交	1942	★5	表向きは日本と同盟を結びつつ、裏ではアメリカと組んで抗日運動を行う。タイ外交の真骨頂「二股外交」の極致。	駐米大使のセーニー・プラーモートらが「宣戦布告は無効」と主張しアメリカで組織。国内の王族や政治家とも結託し、連合国軍に情報提供を行った。	サコンナコーン（自由タイ運動の拠点跡）
TH-068	敗戦国化の回避（宣戦布告の無効宣言）	大東亜戦争	政治・外交	外交,独立維持	1945	★5	日本が降伏した翌日、タイは「アメリカへの宣戦布告は日本に強要されたもので無効」と宣言し、戦勝国側（アメリカ）に承認された。	自由タイ運動の功績もあり、アメリカはタイを敗戦国として扱わず。イギリスからの厳しい賠償要求もアメリカの仲介で軽減され、奇跡的に独立を保った。	（巧みな外交史の象徴）
TH-069	メナムの残照（クーカム）	大東亜戦争	文化・食	文化,日本	1969	★3	日本人将校「小堀」とタイ人女性「アンスマリン」の悲恋を描いた国民的小説。タイ人が抱く日本人イメージの原点の一つ。	トムヤンティによる小説で、何度もドラマや映画化されている。実直だが悲劇的な運命を辿る「コボリ」は、タイで最も有名な架空の日本人。	バンコク・トンブリー駅周辺
TH-070	プミポン国王（ラーマ9世）即位	現代	政治・外交	人物,王制	1946	★5	兄王の謎の銃殺事件により18歳で即位。その後70年間にわたり在位し、タイ国民から「父」として絶大な敬愛を集めた。	即位当初は軍部の傀儡に近かったが、自ら地方視察（ロイヤルプロジェクト）を精力的に行い、国民の圧倒的な支持を背景に王室の権威を完全に復活させた。	王宮周辺（ラーマ9世の肖像画）
TH-071	頻発する軍事クーデターと国王の調停	現代	政治・外交	クーデター,政治	1947	★4	「政治が混乱する→軍部がクーデターを起こす→国王が仲裁する」という、タイ独自の民主主義のサイクル。	1932年以降、タイでは20回近いクーデターが発生。特に1992年の「暗黒の5月事件」では、プミポン国王が対立する両派のトップを玉座の前に正座させ、一言で流血の事態を収拾した。	（現代政治の特異な構図）
TH-072	黄金の三角地帯（ゴールデントライアングル）	現代	政治・外交	ラーンナー,麻薬	1970	★4	チェンライ県北部のタイ・ミャンマー・ラオス国境地帯。かつては世界最大のケシ（アヘン）密造地帯だった暗い歴史。	山岳民族の貧困を背景に麻薬栽培が蔓延したが、タイ政府と王室の取り組み、軍による麻薬王クン・サーの掃討などにより、現在タイ側では麻薬栽培はほぼ消滅した。	オピウム（アヘン）博物館（チェンセーン）
TH-073	ロイヤル・プロジェクト（王室支援プロジェクト）	現代	社会	農業,王制	1969	★4	チェンライなど北部の山岳地帯に、ケシの代わりにコーヒーや茶、イチゴなどを栽培させ、麻薬撲滅と貧困解決を同時に成し遂げた。	プミポン国王が主導した農業支援。北部の冷涼な気候を活かした高付加価値の作物を導入し、現在では高品質なタイ産コーヒー（ドイカンなど）のブランド化に成功している。	ドイトゥン宮殿（チェンライ）
TH-074	タイ経済の発展と「東洋のデトロイト」	現代	社会	経済,日本	1980	★3	プラザ合意以降、日本の自動車メーカーが一斉にタイに進出。タイが東南アジア最大の自動車生産拠点となる礎を築いた。	日本企業の直接投資が急増し、チョンブリー県のレムチャバン港周辺などに巨大な工業団地が形成。日タイの強固な経済的結びつきが完成した。	アマタナコーン工業団地など
