ID	名称（日本語）	名称（英語）	名称（タイ語）	分類	信仰・物語の系統	見分け方	意味・役割	見られる場所	理解上の注意	タイ語画像検索URL	主要参考URL	文化資料URL	確認状態
011	プラ・シワ	Shiva	พระศิวะ	バラモン・ヒンドゥー系	ヒンドゥー教	三叉戟、第三の目、結髪、蛇、牡牛ナンディン。	破壊と再生、修行、舞踊を司る大神。	バラモン祠、博物館、クメール遺跡	リンガによる象徴表現も多い。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%B4%E0%B8%A7%E0%B8%B0%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
012	プラ・ナーラーイ	Vishnu	พระนารายณ์	バラモン・ヒンドゥー系	ヒンドゥー教	四腕で法輪、法螺貝、棍棒、蓮を持つ。	世界を維持し、化身を通じ秩序を回復する神。	クメール遺跡、王室意匠、祠	タイ語ではナーラーイの名が一般的。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%93%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
013	プラ・ピッカネート	Ganesha	พระพิฆเนศ	バラモン・ヒンドゥー系	ヒンドゥー教・芸術信仰	象の頭、大きな腹、複数の腕、鼠。	障害を除き、学問・芸術・事業の成功を守る。	芸術大学、祠、店舗祭壇	供物や礼拝方法は祠ごとに確認する。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B4%E0%B8%86%E0%B9%80%E0%B8%99%E0%B8%A8%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
014	プラ・メー・ラックサミー	Lakshmi	พระแม่ลักษมี	バラモン・ヒンドゥー系	ヒンドゥー教	蓮に立つ女性神、金貨、象を伴うことがある。	富、繁栄、美、幸運を司る。	都市の祠、ヒンドゥー寺院	招財目的だけに限定されない。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%A1%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
015	プラ・メー・ウマー	Uma / Parvati	พระแม่อุมาเทวี	バラモン・ヒンドゥー系	ヒンドゥー教	王冠を着けた女神。獅子・虎、シヴァ、子神を伴う。	シヴァの妃で、母性と力の両面を持つ。	シーロムのマリアマン寺院など	ドゥルガー、カーリーなどの相との関係に注意。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AD%E0%B8%B8%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%97%E0%B8%A7%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
016	プラ・メー・サラスワディー	Saraswati	พระแม่สรัสวดี	バラモン・ヒンドゥー系	ヒンドゥー教	白衣、ヴィーナー、書物、白鳥。	学問、言葉、音楽、芸術を司る女神。	教育機関、ヒンドゥー系祭壇	タイではガネーシャほど一般的ではない。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B8%A3%E0%B8%B1%E0%B8%AA%E0%B8%A7%E0%B8%94%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
017	プラ・カンタクマーン	Skanda	พระขันทกุมาร	バラモン・ヒンドゥー系	ヒンドゥー教	若い戦神、槍、孔雀を伴う。	シヴァの子で、戦いと勇気を司る。	タミル系ヒンドゥー寺院	ムルガンなど別名が多い。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%82%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%81%E0%B8%B8%E0%B8%A1%E0%B8%B2%E0%B8%A3%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
018	プラ・トリームールティ	Trimurti	พระตรีมูรติ	バラモン・ヒンドゥー系	近現代タイのヒンドゥー受容	複数の顔・腕を持つ合一神像。	ブラフマー、ヴィシュヌ、シヴァの三神一体として説明される。	バンコク中心部の祠	タイでは恋愛祈願との結びつきが強いが伝統解釈は一様でない。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%95%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B8%B9%E0%B8%A3%E0%B8%95%E0%B8%B4%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
019	ナンディン	Nandi	โคนนทิ	バラモン・ヒンドゥー系	ヒンドゥー教	伏せた白い牡牛。	シヴァの乗物であり門前の守護者・帰依者。	クメール遺跡、シヴァ寺院	牛像単体でもシヴァ祠へ正対する配置が手掛かり。	https://www.google.com/search?tbm=isch&q=%E0%B9%82%E0%B8%84%E0%B8%99%E0%B8%99%E0%B8%97%E0%B8%B4%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
020	エラワン	Erawan / Airavata	ช้างเอราวัณ	バラモン・ヒンドゥー系	インド神話・タイ仏教美術	通常三つの頭を持つ巨大な白象。	インドラの乗物で、雲、雨、王権の象徴。	寺院破風、エラワン博物館、神話彫刻	経典上は頭数が多い説明もあり、造形は簡略化される。	https://www.google.com/search?tbm=isch&q=%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%AD%E0%B8%A3%E0%B8%B2%E0%B8%A7%E0%B8%B1%E0%B8%93%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
021	プラ・プーム	Guardian spirit of the land	พระภูมิ	土地と暮らしの精霊	土地神信仰・バラモン儀礼	片脚の高い祠に立つ金色の神像として祀られることが多い。	敷地と建物を守護する土地の神。	住宅、ホテル、商業施設の祠	祠の設置・撤去は専門儀礼を伴う。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
022	チャオティー	Local land spirit	เจ้าที่	土地と暮らしの精霊	土地・祖霊信仰	低い祠やタイ式家屋形の祠、老夫婦像など多様。	その場所に以前からいる霊的所有者を敬う。	住宅、店舗、田畑	プラ・プームと同じ祠で祀る場合も別の場合もある。	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
023	メー・ポーソップ	Rice Mother	แม่โพสพ	土地と暮らしの精霊	稲作信仰	稲穂を抱く美しい女性。	稲の魂と豊穣を人格化し、収穫と食への感謝を表す。	農耕儀礼、壁画、教材	全国で儀礼が同一ではない。	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B9%82%E0%B8%9E%E0%B8%AA%E0%B8%9E%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
024	メー・ヤーナーン	Boat and vehicle guardian	แม่ย่านาง	土地と暮らしの精霊	舟・乗物の守護信仰	船首の色布、供物、化粧した木柱などで示される。	舟や車両に宿り、安全を守る女性精霊。	漁船、長舟、車両	船首や供物へ無断で触れない。	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%87%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
025	ナーン・クワック	Nang Kwak	นางกวัก	土地と暮らしの精霊	商業民間信仰	座る女性が右手を招くように上げる。	客、商売、財運を招くとされる。	店舗、食堂、市場	日本の招き猫と似るが由来と姿は異なる。	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%81%E0%B8%A7%E0%B8%B1%E0%B8%81%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
026	ナーン・ターニー	Nang Tani	นางตานี	土地と暮らしの精霊	バナナの精霊伝承	緑の衣を着た女性がターニーバナナと結びつく。	バナナ林に住む女性霊として物語られる。	民話、映画、祠	娯楽作品の表現と地域伝承を分ける。	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B2%E0%B8%99%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
027	ナーン・タキアン	Nang Takhian	นางตะเคียน	土地と暮らしの精霊	巨木信仰	タキアンの巨木、色布、女性像、供物。	古木に宿り場所を守る女性精霊。	寺院境内、森、巨木の祠	樹木を傷つけず、宝くじ信仰だけに還元しない。	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B8%99%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
028	ピーターコーン	Phi Ta Khon spirit mask	ผีตาโขน	土地と暮らしの精霊	ルーイのブンルアン	竹籠と椰子葉で作る大きな仮面、派手な衣装、鈴。	精霊の行列を演じ、仏教説話と地域の祖霊観が交差する。	ダーンサーイの祭り	独立した一柱の神名ではなく仮面芸能・参加者の呼称。	https://www.google.com/search?tbm=isch&q=%E0%B8%9C%E0%B8%B5%E0%B8%95%E0%B8%B2%E0%B9%82%E0%B8%82%E0%B8%99%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
029	プーセ・ヤーセ	Pu Sae Ya Sae	ปู่แสะย่าแสะ	土地と暮らしの精霊	ラーンナー地域信仰	老男女の祖霊として祀られ、供犠儀礼と結びつく。	チェンマイ盆地を守る祖霊・土地霊。	ドイカム周辺のリアンドン儀礼	刺激の強い供犠を含むため見学時は地域規則に従う。	https://www.google.com/search?tbm=isch&q=%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%81%E0%B8%AA%E0%B8%B0%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%AA%E0%B8%B0%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
030	メー・ナーク	Mae Nak Phra Khanong	แม่นากพระโขนง	土地と暮らしの精霊	バンコク都市伝説・民間信仰	若い女性、子ども、長く伸びる腕の物語表現。	夫を待つ女性霊の物語から、恋愛・徴兵回避など多様な祈願対象へ展開。	ワット・マハーブットの祠	伝承、映画、実際の祭祀を同一視しない。	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%99%E0%B8%B2%E0%B8%81%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%82%E0%B8%82%E0%B8%99%E0%B8%87%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
031	ナーガ	Naga	นาค / พญานาค	守護者と霊獣	仏教・インド神話・メコン信仰	蛇身、多頭の鎌首、鱗、炎形の冠。	水と地下世界を司り、仏法と聖域を守護する。	寺院階段、メコン流域、仏像台座	地域ごとに固有名と物語がある。	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B2%E0%B8%84%20%2F%20%E0%B8%9E%E0%B8%8D%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%84%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
032	ヤック	Yaksha	ยักษ์	守護者と霊獣	仏教宇宙論・ラーマキエン	牙、冠、棍棒、鮮やかな肌色の巨人。	門や聖域を守る強力な非人間存在。	ワット・プラケーオ、ワット・アルン	悪役とは限らず守護者として祀られる。	https://www.google.com/search?tbm=isch&q=%E0%B8%A2%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
033	ガルーダ	Garuda	ครุฑ	守護者と霊獣	ヒンドゥー神話・王権	鳥の嘴・翼・鉤爪と人間の胴体。ナーガをつかむ姿も多い。	ヴィシュヌの乗物で、王権と国家を象徴する。	官庁紋章、寺院、王室建築	タイでは公的紋章として使用制限がある。	https://www.google.com/search?tbm=isch&q=%E0%B8%84%E0%B8%A3%E0%B8%B8%E0%B8%91%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
034	キンナリー	Kinnari	กินรี	守護者と霊獣	ヒマパン世界	上半身が女性、下半身が鳥で翼と尾を持つ。	優雅な音楽・舞踊・忠節を象徴する半人半鳥。	寺院壁画、彫刻、舞台芸術	男性形キンナラとの名称を区別する。	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B8%A3%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
035	キンナラ	Kinnara	กินนร	守護者と霊獣	ヒマパン世界	男性の上半身と鳥の下半身・翼。	天上の音楽家としてキンナリーと対で表される。	壁画、装飾彫刻	日常語では雌雄をまとめてキンナリーと呼ぶこともある。	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B8%A3%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
