ID	ブランド名	産地(山)	主要プロセス	焙煎度	入手難易度	価格帯	フレーバー・特徴	解説・ストーリー	公式サイト/入手先
11	9-1 Coffee (Nine One)	ドイチャン	Washed	中煎り	店舗/通販	฿฿	#オーガニック, #丁寧, #マイルド	ドイチャンの重鎮Mr.Wanが作るオーガニックコーヒー。森の中で自然に近い状態で栽培されている。非常に優しく、雑味のないクリアな味が特徴。	Facebook: 9-1 Coffee
12	Sirinya Coffee	ドイチャン	Anaerobic	浅煎り	通販/専門店	฿฿฿	#マニア向け, #嫌気性発酵, #コンペ常連	家族経営の小さな農園だが、特殊な発酵プロセス（Anaerobic）で数々の賞を受賞。ワインやラム酒のような芳醇な香りの豆を作る。	Facebook: Sirinya Coffee Farms
13	Jadae House	ドイチャン	Washed	中〜深	店舗	฿฿	#展望台, #アカ族, #エスプレッソ	ドイチャンの展望台近くにあるカフェ＆農園。エスプレッソに向いた、ボディのしっかりした豆が多い。パッケージのアカ族デザインが可愛い。	Facebook: Jadae House
14	Suwirin (Suvirin)	メースワイ	Washed	中煎り	Otop/通販	฿฿	#有機栽培, #紅茶に近い, #上品	メースワイ郡の有機農園。コーヒーだけでなくお茶も栽培しており、コーヒー豆もどことなく紅茶のような上品な渋みと甘みを持つ。	suwirin.com
15	Pangsarn Coffee	メーファルアン	Washed	中〜深	現地/通販	฿	#ドイトゥン隣接, #穴場, #香ばしい	ドイトゥンに近い「パンサーン村」のコーヒー。観光地化されていないため知名度は低いが、ドイトゥン同様に品質が高く、価格は手頃。	現地のみ
16	Bamboo Coffee (Pha Hee)	メーサイ(Pha Hee)	Honey	中煎り	現地	฿฿	#竹筒, #体験型, #バランス	パーヒー村で、竹を使ってドリップする体験ができるカフェの豆。竹林の中で育った豆は心なしか清涼感がある。	Facebook: Bamboo Coffee
17	Layo Coffee	ドイチャン	Washed	全対応	店舗	฿฿	#リス族, #高標高, #シトラス	ドイチャンの中でも特に標高が高い「ラヨ村」（リス族）の豆。寒暖差が激しいため、柑橘系の酸味がきれいに残る。	Facebook: Layo Coffee
18	Mae Jan Tai (Geisha)	メースワイ	Natural	浅煎り	通販/予約	฿฿฿	#ゲイシャ種, #超高級, #ジャスミン	アカ族の「メーチャンタイ村」は、タイでは珍しい高級品種「ゲイシャ」の栽培に成功している。ジャスミンやアールグレイのような驚くべき香り。	Facebook: Mae Jan Tai
19	Laan-ya (Lanna)	市内/ムアン	Blend	中〜深	店舗	฿฿	#市内カフェ, #ブレンド技術, #飲みやすい	チェンライ市内の有名店。独自のブレンド技術で、誰が淹れても美味しくなるように調整されている。お土産パッケージがおしゃれ。	Facebook: Laan-ya
20	Omni Coffee Roaster	市内/ムアン	Single Origin	浅〜中	店舗	฿฿฿	#自家焙煎, #競技会, #最先端	市内にある実力派ロースター。チェンライ各地の農園から「その年の一番良い豆」を買い付け、最適な焙煎で提供するセレクトショップ的ブランド。	Facebook: Omni
21	Pang Khon Academy	ドイパンコン	Honey/Dry	浅〜中	通販	฿฿	#教育農園, #実験的, #複雑な味	アカ族の若手にコーヒー栽培を教えるアカデミー発のブランド。実験的な精製方法を行っており、毎年味が進化する。	Facebook: Pang Khon Academy
22	Sawanbondin	市内/ムアン	Blend	中煎り	店舗	฿฿	#お茶とコーヒー, #土の家, #癒やし	「地上の楽園」という名のカフェ＆ファーム。ハーブティーが有名だが、独自のコーヒーブレンドも香りが良く、リラックス効果が高い。	Facebook: Sawanbondin
23	Khun Chang Kian	ドイチャン周辺	Washed	中〜深	研究センター	฿	#大学研究, #原種, #クラシック	チェンマイ大学の研究センター（チェンライ拠点）で作られる豆。派手さはないが、昔ながらのアラビカ種の味が楽しめる。	-
24	Doi Mok Coffee	チェンライ東部	Washed	中煎り	現地	฿	#プーチーファー, #東部の豆, #レア	雲海の名所「プーチーファー」方面（ドイ・モック）で栽培される珍しい豆。生産量が少なく、現地に行かないとほぼ手に入らない。	-
25	Chiang Rai Coffee (Otop)	全域	Blend	深煎り	スーパー	฿	#お土産用, #安価, #苦い	スーパーのお土産コーナーによくある、チェンライの地図が描かれたパッケージ。複数の山の豆を混ぜており、味は「ザ・コーヒー」という感じで無難。	スーパー各店
26	Ahpa Coffee (Apa)	メーサイ(Pha Hee)	Washed/Dry	中〜深	現地	฿฿	#元村長, #老舗, #コク	パーヒー村の顔役的存在「アーパ」さんのブランド。村一番の絶景カフェで提供される。昔ながらの深みのあるドッシリとした味が特徴。	Facebook: Ahpa Coffee
27	Sola Coffee	メーサイ(Pha Hee)	Honey	浅〜中	現地	฿฿	#若手, #蜂蜜プロセス, #スッキリ	パーヒー村の若手が運営。従来の苦いコーヒーとは一線を画す、蜂蜜のような甘い香りのハニープロセスが得意。パッケージもモダン。	Facebook: Sola Coffee
28	Phamee Coffee (Jaa)	メーサイ(Pha Mi)	Washed	中煎り	現地	฿	#Jaaさん, #家庭的, #ナッツ	パーミー村の家庭的なカフェ。自家焙煎の豆はクセがなく、毎日飲める飽きのこない味。アカ族の伝統的なもてなしを受けられる。	現地のみ
29	Doi Pha Tang Coffee	チェンライ東部	Washed	中〜深	現地/市場	฿	#プーチーファー, #雲海, #レア	チェンライ東部の名所「ドイ・パータン（パータン山）」周辺で栽培される豆。雲海観光のお土産として現地で細々と売られている。素朴な味わい。	現地売店
30	Wawee Coffee (Original)	ドイワーウィー	Washed	深煎り	スーパー/店舗	฿฿	#タイ全土, #元祖, #ダーク	タイ全土に展開する大手チェーンだが、発祥はチェンライの「ワーウィー山」。ドイチャンと並ぶ老舗産地。スモーキーでパンチのある深煎りが看板。	waweecoffee.com
31	Lisu Chang Coffee	ドイチャン	Washed	中煎り	通販/店舗	฿฿	#リス族, #高地栽培, #クリーン	ドイチャンに住むリス族（Lisu）のブランド。アカ族とはまた違う区画で栽培しており、水洗式のクリーンで雑味のない味が評価されている。	Facebook: Lisu Chang
32	Akha Mino Coffee	メースワイ	Natural	浅煎り	通販/イベント	฿฿	#Minoさん, #発酵, #ワイン	有名なAkha Amaとは別の、Mino氏によるブランド。発酵プロセスの研究熱心で、赤ワインやドライフルーツのような強烈な香りの豆を作る。	Facebook: Akha Mino
33	Mae Salong Coffee	メーサロン	Washed	中〜深	茶園/市場	฿	#お茶の山, #アラビカ, #珍しい	お茶で有名なメーサロンだが、標高が高いためコーヒーも育つ。茶畑の脇で栽培された豆は、不思議とハーブのような清涼感がある。	メーサロン市場
34	Khun Korn Coffee	ムアン(滝)	Washed	中煎り	現地	฿	#滝の近く, #森林, #マイルド	市内から近い「クンコーン滝」へ向かう道中にある小規模農園。森林農法（アグロフォレストリー）で作られ、優しい酸味がある。	現地カフェ
35	Black Ivory Coffee	チェンセン(GT)	Elephant Process	特殊	ホテル/通販	฿฿฿฿฿	#世界最高額, #象の消化, #ゴールデントライアングル	チェンセンの高級ホテル「アナンタラ」内で作られる、象が食べて消化した豆。苦味が完全に消え、チョコとスパイスの香りがする。1kg 20万円以上する超高級品。	blackivorycoffee.com
36	Doi Tung Peaberry	ドイトゥン	Washed	中煎り	店舗/空港	฿฿฿	#丸豆, #希少部位, #濃厚	通常2つある種が1つだけ丸く育った「ピーベリー」のみを選別した高級ライン。栄養が凝縮されており、味が濃くカフェインも少し強め。	doitung.com
37	Le Tor Gold (Musoe)	ターク/チェンライ	Washed	浅〜中	通販	฿฿฿	#品評会優勝, #カレン族, #黄金	厳密にはターク県境に近いが、チェンライのロースターがこぞって扱う「チャンピオン豆」。タイのコーヒー品評会で優勝常連の伝説的エリア。	-
38	Doi Chaang Whisky Aged	ドイチャン	Barrel Aged	中煎り	通販/店舗	฿฿฿	#樽熟成, #ウイスキー香, #ノンアルコール	生豆をウイスキーの空き樽で熟成させてから焙煎した豆。お酒は入っていないのに、強烈なウイスキーとバニラの香りがする大人のコーヒー。	各社(Doi Chaang等)
39	Mae Mon Coffee	ムアン(郊外)	Honey	中煎り	店舗	฿฿	#ダムの近く, #花畑, #甘み	市内から近い「メーモン・ダム」周辺の観光農園。花畑に囲まれたカフェで売られている。ハニープロセス特有のフローラルな甘みが女性に人気。	Facebook: Mae Mon
40	Pang Khon (Siam Drip)	ドイパンコン	Drip Bag	中煎り	スーパー/土産	฿฿	#ドリップバッグ, #手軽, #お土産	ドイパンコン産の豆を手軽なドリップバッグにしたもの。お土産屋でよく見かける。器具がない人へのギフトとして最適。	スーパー各店
41	Five Forest Coffee	ドイチャン	Organic	中〜深	店舗	฿฿	#有機JAS, #5つの森, #環境保護	環境保護をテーマにしたオーガニックブランド。森を伐採せず、木陰で育てた豆を使用。ナッツの香ばしさと、土の力を感じる力強い味。	Facebook: Five Forest
42	Baan Mai Pattana	チェンライ北部	Robusta	深煎り	現地	฿	#ロブスタ種, #低地, #缶コーヒー味	山間部以外（低地）で栽培されるロブスタ種。苦味が強く、コンデンスミルクをたっぷり入れるタイ式コーヒーに最適。	-
43	Akha Jungle Coffee	メーサイ(Pha Mi)	Washed	深煎り	現地	฿	#ジャングル, #炭火焙煎, #ワイルド	パーミー村の奥地で、電気を使わず炭火で焙煎する（こともある）野性味あふれるブランド。スモーキーな香りが癖になる。	現地のみ
44	Doi Ngam (Beauty Mtn)	ウィアンパパオ	Washed	中煎り	通販	฿฿	#国立公園, #知られざる産地, #クリア	チェンマイへ抜ける国道沿い「ウィアンパパオ」エリアの豆。国立公園近くの水源が綺麗な場所で作られ、非常に透明感のある味。	-
45	Mae Suai Honey	メースワイ	Red Honey	浅〜中	通販/店舗	฿฿฿	#レッドハニー, #完熟, #紅茶	メースワイ郡の特定農園で作られる、完熟豆の果肉を多く残して乾燥させた「レッドハニー」。紅茶やドライアプリコットのような風味。	-
46	Pha Hee View Point	メーサイ(Pha Hee)	Mix Process	中煎り	現地	฿฿	#展望台, #ブレンド, #バランス	パーヒー村で最も有名な展望台カフェの豆。WashedとHoneyをバランスよくブレンドしており、酸味と苦味の調和が取れている。	現地カフェ
47	Kaffe Hub	市内/ムアン	House Blend	中〜深	店舗	฿฿	#コワーキング, #作業用, #飲み飽きない	市内のノマド向けカフェのハウスブレンド。長時間作業しながら飲むことを想定し、冷めても酸っぱくならないように焙煎されている。	Facebook: Kaffe Hub
48	Yod Khun Pol	チェンセン周辺	Washed	深煎り	市場	฿	#将軍, #ローカル, #ガツンとくる	チェンセンやメーチャンの市場で見かけるローカル袋詰め豆。昔ながらのタイコーヒーで、カフェイン補給に最適。	市場
49	Hillkoff (Chiang Rai)	全域	Blend	全対応	スーパー	฿	#業務用, #高コスパ, #安定	北タイ全域でカフェに卸している業務用メーカー。チェンライ産の豆も多く扱う。1kg単位で安く買えるため、自宅での消費量が多い人向け。	Makro/Big C
50	Miracle Coffee (Doi Chang)	ドイチャン	Peaberry	中煎り	通販/店舗	฿฿	#ミラクル, #丸豆, #高級感	ドイチャン産のピーベリーに特化したブランド。名前の通り「奇跡」のような甘みがあるとして、贈答用に人気がある。	Facebook: Miracle Coffee
