ID	銘柄名	タイ文字表記	タイ文字表記区分	名称の要点	ジャンル	酒類大分類	産地	主原料	度数(ABV・目安)	味わい	おすすめの飲み方	レア度	製造者・ブランド	確認状態	タイ語検索判定	推奨対応	精査メモ	出典URL	Google画像検索URL	公開用解説	旧解説・ストーリー（未精査）
11	Doi Kham Lychee Wine	ไวน์ลิ้นจี่ดอยคำ	暫定音写・要確認	チェンマイ/チェンライに関連する、ライチを主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	チェンマイ/チェンライ	ライチ	10-12%	フルーティー	よく冷やして少量ずつ	スーパー		未確認	裏付けなし・差し替え推奨	差し替え推奨	ดอยคำのライチワイン商品をタイ語検索で確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%88%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%84%E0%B8%B3		同じくドイカム製。北タイ特産のライチ（ホンアイ種など）を使用。ライチ特有の芳醇な香りがそのまま閉じ込められており、女性人気No.1。
12	Bennchcha (ベンチャー)	เบญจา	暫定音写・要確認	チェンマイに関連する、梅(Japanese Apricot)を主原料として収録されたUmeshu。	Umeshu	リキュール・混成酒	チェンマイ	梅(Japanese Apricot)	14%	濃厚	ロック、ソーダ割り、カクテル	専門店/日系居酒屋		未確認	裏付けなし・差し替え推奨	差し替え推奨	Bennchcha／เบญจาという北タイ酒を確認できない。綴り自体も要再確認。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%9A%E0%B8%8D%E0%B8%88%E0%B8%B2		チェンライ・チェンマイの高地で栽培された梅を使った本格梅酒。日本の醸造家が技術指導しており、チョーヤにも負けない濃厚で酸味の効いた味が楽しめる。
13	Sato Siam (สาโทสยาม)	สาโทสยาม	暫定音写・要確認	北タイ全域(工場はラムパン)に関連する、もち米を主原料として収録されたSato(米酒)。	Sato(米酒)	醸造酒	北タイ全域(工場はラムパン)	もち米	8%	微発泡/甘口	よく冷やして少量ずつ	コンビニ		実在・表記とも要追加調査	実在商品・北タイ外	別枠または補足扱い	สาโทสยามは実在する市販サトーだが、北タイ固有商品ではない。	https://www.priceza.com/s/ราคา/สาโทสยาม	https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B2%E0%B9%82%E0%B8%97%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1	สาโทสยามは実在する市販サトーだが、北タイ固有商品ではない。	タイの「SPY」などを製造するサイアムワイナリーが手がける、最もメジャーなサトー。微発泡で甘く、マッコリやシードルに近い。コンビニで数十バーツで買える手軽さが魅力。
14	Rung Tawan (ルンタワン)	รุ่งตะวัน	暫定音写・要確認	プレー(Phrae)に関連する、糖蜜/米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	プレー(Phrae)	糖蜜/米	30-35%	強烈	少量のストレート、ロック、水割り	コンビニ(北タイ限定)		未確認	裏付けなし・差し替え推奨	差し替え推奨	รุ่งตะวันという北タイ酒の固有商品を確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99		「朝日」を意味するプレー県の地酒。Sura Tapと並ぶ二大巨頭。労働者の疲れを癒やす酒として親しまれている。ハーブ酒（ヤードン）のベースに使われることが多い。
15	Mae Khong (メコン)	แม่โขง	公式表記確認	北タイ(原料)に関連する、糖蜜/米を主原料として収録されたSpirit。	Spirit	蒸留酒	北タイ(原料)	糖蜜/米	35%	スパイシー	ロック、ソーダ割り、カクテル	コンビニ/スーパー	Mekhong / ThaiBev	確認済み	実在商品・全国銘柄	別枠または補足扱い	แม่โขงは公式確認済み。ただし北タイ限定の酒ではない。	https://www.mekhong.com/index_th.html	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B9%82%E0%B8%82%E0%B8%87	แม่โขงは公式確認済み。ただし北タイ限定の酒ではない。	タイ初の国産スピリッツ。工場はバンコク近郊だが、原料の米やハーブは北タイとの関わりが深い。バニラやハーブの香りが添加された、ウイスキー風の蒸留酒。
16	Phraya Rum (プラヤ)	พระยา รัม	暫定音写・要確認	ナコンパトム(熟成)に関連する、サトウキビを主原料として収録されたRum。	Rum	蒸留酒	ナコンパトム(熟成)	サトウキビ	40%	樽香/高級	ロック、ソーダ割り、カクテル	免税店/デパート		実在・表記とも要追加調査	実在商品・全国銘柄	別枠または補足扱い	พระยาはタイのラムとして流通するが、北タイ固有ではない。		https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B2%20%E0%B8%A3%E0%B8%B1%E0%B8%A1	พระยาはタイのラムとして流通するが、北タイ固有ではない。	厳密には北タイ蒸留ではないが、北部のサトウキビを使用し、世界最高賞を受賞したタイの最高級ラム。深く焦がした樽で熟成され、コニャックのような深みがある。
17	Lamphun Longan Wine	ไวน์ลำไยลำพูน	一般的なタイ語名称	ランプーンに関連する、ロンガン(竜眼)を主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	ランプーン	ロンガン(竜眼)	11%	極甘口	よく冷やして少量ずつ	Otop/土産店		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%A2%E0%B8%A5%E0%B8%B3%E0%B8%9E%E0%B8%B9%E0%B8%99	ไวน์ลำไยลำพูนは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	「ロンガンの都」ランプーン県の名産品。干しロンガンのような濃厚な甘みと燻製のような香ばしい香りがある。滋養強壮に良いとされる。
18	Laorkha (ラオカー)	เหล้าข่า	一般的なタイ語名称	チェンマイに関連する、スパイス/米を主原料として収録されたCraft Spirit。	Craft Spirit	蒸留酒	チェンマイ	スパイス/米	40%	スパイシー	ロック、ソーダ割り、カクテル	バー		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B9%88%E0%B8%B2	เหล้าข่าは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	北タイの「スパイス」を漬け込んだクラフトスピリッツ。シナモンやクローブの香りが強く、そのまま飲むよりカクテルのアクセントとして使われることが多い。
19	Chiang Rai Pineapple Wine	ไวน์สับปะรดเชียงราย	一般的なタイ語名称	チェンライ(ナーンレー)に関連する、パイナップルを主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	チェンライ(ナーンレー)	パイナップル	12%	酸味/甘み	冷やして食事と合わせる	農園/Otop		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%AA%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%B0%E0%B8%A3%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2	ไวน์สับปะรดเชียงรายは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	プーレー/ナーンレーパイナップルの産地で作られるワイン。白ワインに近い酸味があり、冷やして飲むとシーフード料理に合う。
20	Sura Kao (White Spirit)	สุราขาว	一般的なタイ語名称	村ごとの自家製に関連する、米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	村ごとの自家製	米	40-50%	ワイルド	ロック、ソーダ割り、カクテル	村の祭り		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A7	สุราขาวは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	法的にグレーなものも含め、北タイの村々で作られる自家製米焼酎。プラスチックボトルで量り売りされる。味は作り手によって千差万別だが、最も「リアル」な北タイの味。
21	Num Mhor (ナム・モー)	น้ำหม้อ	一般的なタイ語名称	山間部(モン族等)に関連する、トウモロコシ/米を主原料として収録されたSato(米酒)。	Sato(米酒)	醸造酒	山間部(モン族等)	トウモロコシ/米	10-20%	濁り酒	冷やして食事と合わせる	村の祭り		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A1%E0%B9%89%E0%B8%AD	น้ำหม้อは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	山岳民族の村で振る舞われる濁り酒。壺（モー）に入れて発酵させ、ストローで回し飲みする文化がある。甘酸っぱく、発酵の力強さを感じる。
22	Mulberry Wine (Mae Sai)	ไวน์มัลเบอร์รีแม่สาย	一般的なタイ語名称	チェンライ(メーサイ)に関連する、桑の実を主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	チェンライ(メーサイ)	桑の実	12%	渋み/赤ワイン風	冷やして食事と合わせる	Otop/茶園		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%A1%E0%B8%B1%E0%B8%A5%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B5%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B8%B2%E0%B8%A2	ไวน์มัลเบอร์รีแม่สายは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	メーサイ周辺の茶園やシルク農場で作られるマルベリーワイン。ブドウの赤ワインに近く、タンニン（渋み）もしっかりある本格派。
23	Hong Thong (ホントーン)	หงส์ทอง	公式表記確認	北タイ流通に関連する、糖蜜/米を主原料として収録されたSpirit。	Spirit	蒸留酒	北タイ流通	糖蜜/米	35%	甘い	ロック、ソーダ割り、カクテル	コンビニ	Hong Thong / ThaiBev	確認済み	実在商品・全国銘柄	別枠または補足扱い	หงส์ทองは公式確認済み。北タイ限定ではない。	https://www.hongthong.com/	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%97%E0%B8%AD%E0%B8%87	หงส์ทองは公式確認済み。北タイ限定ではない。	「金の鳳凰」。タイ全土で飲めるが、北タイの宴会での消費量は凄まじい。ソーダ割り（ホン・ソダ）は北タイの夜の基本スタイル。
24	Pundee (パンディー)	ปันดี	暫定音写・要確認	チェンマイ(サンカンペーン)に関連する、米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	チェンマイ(サンカンペーン)	米	40%	クリア	ロック、ソーダ割り、カクテル	スーパー		未確認	裏付けなし・差し替え推奨	差し替え推奨	ปันดีという北タイ酒を確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%9B%E0%B8%B1%E0%B8%99%E0%B8%94%E0%B8%B5		「良い品種」の意。パッケージがおしゃれで若者向けのラオカオ。臭みが少なく、カクテルベースとして使いやすいよう設計されている。
25	Umeshu (Doi Angkhang)	อุเมะชูดอยอ่างขาง	暫定音写・要確認	チェンマイ(アンカーン)に関連する、梅/桃を主原料として収録されたUmeshu。	Umeshu	リキュール・混成酒	チェンマイ(アンカーン)	梅/桃	12-15%	フルーティー	ロック、ソーダ割り、カクテル	ロイヤルプロジェクト		未確認	裏付けなし・差し替え推奨	差し替え推奨	ดอยอ่างขาง産梅酒という固有商品を確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%AD%E0%B8%B8%E0%B9%80%E0%B8%A1%E0%B8%B0%E0%B8%8A%E0%B8%B9%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%AD%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%87		ドイ・アンカーン（王室農場）で栽培された梅や桃を使ったリキュール。日本品種の梅を使っており、香りが非常に良い。季節限定品が多い。
26	Lao Ou (Lao Hai)	เหล้าอุ / เหล้าไห	一般的なタイ語名称	ナーン(Nan)に関連する、もち米/籾殻を主原料として収録されたSato(壺酒)。	Sato(壺酒)	醸造酒	ナーン(Nan)	もち米/籾殻	10-15%	甘酸っぱい/微発泡	冷やして食事と合わせる	村の祭り/Otop		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%B8%20%2F%20%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AB	เหล้าอุ / เหล้าไหは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	ナーン県（特にプア郡）名物の壺酒。素焼きの壺にもち米と籾殻を入れて発酵させ、水を注いでストローで吸う。カルピスソーダのような甘酸っぱさと、籾殻の香ばしさがある。
27	Longan Spirit (Lamphun)	สุราลำไยลำพูน	一般的なタイ語名称	ランプーンに関連する、ロンガン(乾燥)を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	ランプーン	ロンガン(乾燥)	30-35%	スモーキー/甘い	ロック、ソーダ割り、カクテル	Otop/土産店		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%A2%E0%B8%A5%E0%B8%B3%E0%B8%9E%E0%B8%B9%E0%B8%99	สุราลำไยลำพูนは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	乾燥させたロンガン（ラムヤイ）を蒸留したスピリッツ。独特の燻製香と果実の甘い残り香がある。ブランデーのように食後酒として飲まれることが多い。
28	Suea 11 Tua (เสือ 11 ตัว / ヤードーン薬材)	เสือ 11 ตัว	暫定音写・要確認	全域(薬局)に関連する、生薬/ハーブを主原料として収録されたYa Dong(薬草素)。	Ya Dong(薬草素)	要分類確認	全域(薬局)	生薬/ハーブ	N/A(素)	薬草/苦味	ロック、ソーダ割り、カクテル	薬局/コンビニ		実在・表記とも要追加調査	ヤードーン処方・酒銘柄ではない	別枠または補足扱い	เสือ 11 ตัวは酒そのものではなく、白酒へ漬ける薬草処方・薬材商品。	https://www.tudsinjai.com/data/product/eleven_tigers_liquor/	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AA%E0%B8%B7%E0%B8%AD%2011%20%E0%B8%95%E0%B8%B1%E0%B8%A7		「11匹の虎」という意味の、最も有名なヤードン（薬草酒）の素。ラオ・カオにこの粉末や塊を漬け込んで飲む。滋養強壮、筋肉痛に効くとされ、労働者の活力源。
29	Ma Krathuep Rong (ม้ากระทืบโรง / ヤードーン処方)	ม้ากระทืบโรง	一般的なタイ語名称	全域(市場)に関連する、木片/生薬を主原料として収録されたYa Dong(薬草素)。	Ya Dong(薬草素)	要分類確認	全域(市場)	木片/生薬	N/A(素)	ウッディ/渋み	ロック、ソーダ割り、カクテル	市場/薬局		品目名のみ確認・銘柄要調査	ヤードーン処方・酒銘柄ではない	別枠または補足扱い	正しいタイ語は「ม้ากระทืบโรง」。薬草酒の処方名で、固有の酒ブランドではない。	https://spacebar.th/business/explore-northeast-local-liquor-wisdom-poison	https://www.google.com/search?tbm=isch&q=%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B7%E0%B8%9A%E0%B9%82%E0%B8%A3%E0%B8%87		「馬が踏み鳴らす」という意味の強壮ハーブ。赤い木片のような見た目。ラオ・カオに漬けると真っ赤な酒になり、精力増強の効果があると信じられている。
30	Red Rice Sato (Nam Khao Daeng)	สาโทข้าวแดง	一般的なタイ語名称	チェンマイ/全域に関連する、赤米/黒米を主原料として収録されたSato(米酒)。	Sato(米酒)	醸造酒	チェンマイ/全域	赤米/黒米	8-10%	ベリー系/甘口	よく冷やして少量ずつ	市場/自家製		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B2%E0%B9%82%E0%B8%97%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%81%E0%B8%94%E0%B8%87	สาโทข้าวแดงは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	赤米や黒米（ライスベリー）を使って醸造した赤いサトー。見た目は赤ワインやロゼに近く、味もベリーのような酸味と渋みがある。ポリフェノール豊富。
