ID	銘柄名	ジャンル	産地	主原料	度数(ABV)	味わい	レア度	解説・ストーリー
17	Lamphun Longan Wine	Fruit Wine	ランプーン	ロンガン(竜眼)	0.11	極甘口	Otop/土産店	「ロンガンの都」ランプーン県の名産品。干しロンガンのような濃厚な甘みと燻製のような香ばしい香りがある。滋養強壮に良いとされる。
18	Laorkha (ラオカー)	Craft Spirit	チェンマイ	スパイス/米	0.4	スパイシー	バー	北タイの「スパイス」を漬け込んだクラフトスピリッツ。シナモンやクローブの香りが強く、そのまま飲むよりカクテルのアクセントとして使われることが多い。
19	Chiang Rai Pineapple Wine	Fruit Wine	チェンライ(ナーンレー)	パイナップル	0.12	酸味/甘み	農園/Otop	プーレー/ナーンレーパイナップルの産地で作られるワイン。白ワインに近い酸味があり、冷やして飲むとシーフード料理に合う。
20	Sura Kao (White Spirit)	Lao Khao(焼酎)	村ごとの自家製	米	40-50%	ワイルド	村の祭り	法的にグレーなものも含め、北タイの村々で作られる自家製米焼酎。プラスチックボトルで量り売りされる。味は作り手によって千差万別だが、最も「リアル」な北タイの味。
21	Num Mhor (ナム・モー)	Sato(米酒)	山間部(モン族等)	トウモロコシ/米	10-20%	濁り酒	村の祭り	山岳民族の村で振る舞われる濁り酒。壺（モー）に入れて発酵させ、ストローで回し飲みする文化がある。甘酸っぱく、発酵の力強さを感じる。
22	Mulberry Wine (Mae Sai)	Fruit Wine	チェンライ(メーサイ)	桑の実	0.12	渋み/赤ワイン風	Otop/茶園	メーサイ周辺の茶園やシルク農場で作られるマルベリーワイン。ブドウの赤ワインに近く、タンニン（渋み）もしっかりある本格派。
23	Hong Thong (ホントーン)	Spirit	北タイ流通	糖蜜/米	0.35	甘い	コンビニ	「金の鳳凰」。タイ全土で飲めるが、北タイの宴会での消費量は凄まじい。ソーダ割り（ホン・ソダ）は北タイの夜の基本スタイル。
24	Pundee (パンディー)	Lao Khao(焼酎)	チェンマイ(サンカンペーン)	米	0.4	クリア	スーパー	「良い品種」の意。パッケージがおしゃれで若者向けのラオカオ。臭みが少なく、カクテルベースとして使いやすいよう設計されている。
25	Umeshu (Doi Angkhang)	Umeshu	チェンマイ(アンカーン)	梅/桃	12-15%	フルーティー	ロイヤルプロジェクト	ドイ・アンカーン（王室農場）で栽培された梅や桃を使ったリキュール。日本品種の梅を使っており、香りが非常に良い。季節限定品が多い。
26	Lao Ou (Lao Hai)	Sato(壺酒)	ナーン(Nan)	もち米/籾殻	10-15%	甘酸っぱい/微発泡	村の祭り/Otop	ナーン県（特にプア郡）名物の壺酒。素焼きの壺にもち米と籾殻を入れて発酵させ、水を注いでストローで吸う。カルピスソーダのような甘酸っぱさと、籾殻の香ばしさがある。
27	Longan Spirit (Lamphun)	Lao Khao(焼酎)	ランプーン	ロンガン(乾燥)	30-35%	スモーキー/甘い	Otop/土産店	乾燥させたロンガン（ラムヤイ）を蒸留したスピリッツ。独特の燻製香と果実の甘い残り香がある。ブランデーのように食後酒として飲まれることが多い。
28	Suea 11 Tua (11 Tigers)	Ya Dong(薬草素)	全域(薬局)	生薬/ハーブ	N/A(素)	薬草/苦味	薬局/コンビニ	「11匹の虎」という意味の、最も有名なヤードン（薬草酒）の素。ラオ・カオにこの粉末や塊を漬け込んで飲む。滋養強壮、筋肉痛に効くとされ、労働者の活力源。
29	Maa Kratueb Rong	Ya Dong(薬草素)	全域(市場)	木片/生薬	N/A(素)	ウッディ/渋み	市場/薬局	「馬が踏み鳴らす」という意味の強壮ハーブ。赤い木片のような見た目。ラオ・カオに漬けると真っ赤な酒になり、精力増強の効果があると信じられている。
30	Red Rice Sato (Nam Khao Daeng)	Sato(米酒)	チェンマイ/全域	赤米/黒米	8-10%	ベリー系/甘口	市場/自家製	赤米や黒米（ライスベリー）を使って醸造した赤いサトー。見た目は赤ワインやロゼに近く、味もベリーのような酸味と渋みがある。ポリフェノール豊富。
31	Corn Whiskey (Hmong)	Lao Khao(焼酎)	山岳部(モン族)	トウモロコシ	40-50%	バーボン風	村のみ	モン族の村で作られる、トウモロコシを原料とした蒸留酒。製法はアメリカのムーンシャイン（密造酒）やバーボンに近い。荒々しいが、穀物の甘みが強い。
32	Chu Jai (Cheer Heart)	Spirit	ウタイタニ/北	ハーブ	0.35	清涼感	コンビニ	「心を癒やす」という名のハーブ酒。厳密には北タイ限定ではないが、北部での消費が多い。薬草の香りがするが、ヤードンほど薬っぽくなく飲みやすい。
33	Phaya Sua (Tiger King)	Lao Khao(焼酎)	プレー(Phrae)	米/糖蜜	0.4	辛口(Dry)	リカーショップ	プレー県の硬派な地酒ブランド。甘さを抑えたドライな味わいで、キレがある。ロックで飲むと米の甘みが引き立つ。地元のおじさん達の愛飲酒。
34	Chiang Rai Coffee Liqueur	Liqueur	チェンライ(ドイチャン)	コーヒー/ラム	20-25%	ビター/甘口	カフェ/土産店	ドイチャン等のコーヒー豆を、地元のラムやスピリッツに漬け込んだリキュール。カルーアよりも甘さ控えめで、コーヒー本来の酸味や苦味が生きている。ミルク割り専用。
35	Honey Wine (Mead)	Fruit Wine	チェンライ/チェンマイ	蜂蜜	0.12	極甘口/花香	養蜂場/Otop	北タイの豊かな森で採れた蜂蜜を発酵させたミード（蜂蜜酒）。ロンガンの花の蜜を使ったものは濃厚な香り、百花蜜は複雑な味がする。冷やしてデザート酒として。
36	Ruang Khao (Silver)	Lao Khao(焼酎)	全域	糖蜜/米	30-40%	工業的/クリア	どこでも	「稲穂」マークの、タイで最も売れている蒸留酒。味は工業的だが、タイの酒文化のベースラインを知るために避けて通れない一本。全てのヤードンのベースに使われる。
37	Mao Berry Wine	Fruit Wine	北東部/北タイ	マオベリー	10-12%	赤ワイン風	Otop	「マオベリー（山葡萄の一種）」のワイン。北東部（イサーン）が本場だが、北タイの市場でもよく見かける。ポリフェノールたっぷりで、シラーズのような重厚感がある。
38	Niyom Thai (Popular Thai)	Lao Khao(焼酎)	チェンマイ	米	35-40%	バランス	スーパー	「タイの人気」という直球な名前の地酒。ラベルデザインがレトロで可愛い。味はクセがなく、初心者向けのラオ・カオとしてポジションを確立している。
39	Lao Khao (Plastic Bag)	Lao Khao(焼酎)	村の雑貨屋	米	0.4	強烈/謎	村の雑貨屋	ブランド名はない。村の雑貨屋で「20バーツ分」と言ってビニール袋に入れてもらう量り売りの焼酎。正体不明だが、その村で一番新鮮な地酒。※自己責任で楽しむ上級者向け。
40	Kilo Gin (キロ・ジン)	Craft Gin	クラビ/北タイ(ボタニカル)	スパイス	0.4	パンチあり	バー/専門店	拠点は南部だが、北タイのスパイス（マクウェン等）を積極的に使用したクラフトジン。香りが非常に強く、トニックで割ってもスパイス感が消えない。
41	Phrae Rice Brandy	Spirit	プレー(Phrae)	米(熟成)	35-40%	まろやか	蒸留所直売	プレー県の一部の蒸留所で作られる、木樽で熟成させた米焼酎。色は薄い琥珀色。焼酎というよりウイスキーやブランデーに近いまろやかさがある隠れた名品。
42	Passion Fruit Liqueur	Fruit Wine	ドイカム/各地	パッションフルーツ	10-15%	酸味/トロピカル	スーパー	パッションフルーツの果汁をたっぷり使ったお酒。酸味が強烈で、ソーダで割ると非常に爽やか。食前酒として優秀。
43	White Rabbit (白兎)	Craft Spirit	チェンマイ	米/ハーブ	0.4	フローラル	バー/イベント	チェンマイの有名バー「White Rabbit」が手がけるハウススピリッツ。カクテルベースにするために設計されており、余計な雑味がないクリーンな味わい。
44	Kaow Mak (カオマーク)	Sato(食べる酒)	全域(市場)	もち米/麹	2-3%	甘酒/デザート	市場(朝市)	バナナの葉に包まれた「発酵したもち米」。厳密にはお菓子だが、アルコール分が含まれており、食べすぎると酔う。「食べる甘酒」のような存在。
45	Tamarind Wine	Fruit Wine	ペッチャブーン/北タイ	タマリンド	0.1	甘酸っぱい	Otop	隣接するペッチャブーン県などが産地だが、北タイでも流通。タマリンドの甘酸っぱさが凝縮されており、梅酒に近い感覚で飲める。
46	SangSom (SangSom)	Rum	全域	糖蜜	0.4	甘い/樽香	どこでも	「タイのウイスキー」と呼ばれるが実はラム酒。北タイの夜遊びには欠かせない。バケツ（Bucket）カクテルのベース。ハーブやスパイスの香りが添加されている。
47	Lao Khao Hom Mali	Lao Khao(焼酎)	各地	ジャスミンライス	0.4	香り高い	リカーショップ	高級な「ジャスミンライス（香り米）」を100%使用した贅沢なラオ・カオ。炊きたてのご飯のような香りが鼻に抜ける。冷やしてストレートで飲むのがおすすめ。
48	Ginger Wine	Fruit Wine	チェンライ(高地)	生姜	10-12%	スパイシー	農園/Otop	高地栽培の生姜を使ったワイン。飲むと体が温まるため、冬の寒い時期に山岳部で好まれる。ホットワインにしても美味しい。
49	Hong Thong (Sai / Clear)	Spirit	全域	糖蜜	0.35	クリア	コンビニ	「ホントーン」の透明バージョン。樽熟成させていないため、ラムの原酒に近い甘い香りがダイレクトに感じられる。カクテルベース向き。
50	Nam Khao (Moonshine)	Lao Khao(密造)	山奥	米/果実	50%以上	火気厳禁	入手不可	「白い水」の意。山奥でひっそりと作られる高濃度の蒸留酒。度数が高すぎて火をつけると燃える。村長クラスの許可がないと飲めない幻の酒。
