ID	名称	画像ファイル	検索語	Commonsファイル名	出典ページ	作者	ライセンス	ライセンスURL	利用条件	画像区分
21	コーヒーの花茶 (Coffee Blossom Tea)	021.jpg	intitle:coffee flower	Coffee flower smallbee.JPG	https://commons.wikimedia.org/wiki/File:Coffee_flower_smallbee.JPG	Noblevmy at Malayalam Wikipedia	CC BY 2.5	https://creativecommons.org/licenses/by/2.5	Creative Commons Attribution 2.5	検索語に基づく参考写真
22	カスカラ (Cascara / Coffee Cherry Tea)	022.jpg	File:Cascara, Coffee cherry tea-6447.jpg	Cascara, Coffee cherry tea-6447.jpg	https://commons.wikimedia.org/wiki/File:Cascara,_Coffee_cherry_tea-6447.jpg	Raimond Spekking	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象を個別確認した写真
23	ドイ・パンコン・コーヒー豆	023.jpg	intitle:coffee beans	Roasted coffee beans.jpg	https://commons.wikimedia.org/wiki/File:Roasted_coffee_beans.jpg	MarkSweep	Public domain		Public domain	検索語に基づく参考写真
24	古樹茶 (Ancient Tea)	024.jpg	File:Camellia sinensis MHNT.BOT.2016.12.24.jpg	Camellia sinensis MHNT.BOT.2016.12.24.jpg	https://commons.wikimedia.org/wiki/File:Camellia_sinensis_MHNT.BOT.2016.12.24.jpg	Roger Culos	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	対象分野に関連する参考写真
25	銀毫 (Silver Needle)	025.jpg	intitle:silver needle tea	Meepitiya-White tea-Silver Tips.jpg	https://commons.wikimedia.org/wiki/File:Meepitiya-White_tea-Silver_Tips.jpg	WJ Houtman	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
26	ドイ・ディン・ダン陶器 (Doi Din Dang)	026.jpg	File:Pottery at Bangkok National Museum.jpg	Pottery at Bangkok National Museum.jpg	https://commons.wikimedia.org/wiki/File:Pottery_at_Bangkok_National_Museum.jpg	Thanapas.som	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象分野に関連する参考写真
27	タイ・ルー族の織物 (Tai Lue Textile)	027.jpg	File:Detail of Tai Lue Weaving - Lanna Folklife Museum - Chiang Mai - Thailand - 02 (35137982155).jpg	Detail of Tai Lue Weaving - Lanna Folklife Museum - Chiang Mai - Thailand - 02 (35137982155).jpg	https://commons.wikimedia.org/wiki/File:Detail_of_Tai_Lue_Weaving_-_Lanna_Folklife_Museum_-_Chiang_Mai_-_Thailand_-_02_(35137982155).jpg	Adam Jones from Kelowna, BC, Canada	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	Creative Commons Attribution-Share Alike 2.0	対象を個別確認した写真
28	サー紙 (Saa Paper)	028.jpg	File:Thailand Paper-Making (706841150).jpg	Thailand Paper-Making (706841150).jpg	https://commons.wikimedia.org/wiki/File:Thailand_Paper-Making_(706841150).jpg	Steve Evans from Citizen of the World	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Creative Commons Attribution 2.0	対象を個別確認した写真
29	アカ族の頭飾り/刺繍 (Akha Headdress)	029.jpg	intitle:Akha headdress	Akha Smile for 16 Baht.jpg	https://commons.wikimedia.org/wiki/File:Akha_Smile_for_16_Baht.jpg	Adam Baker	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Creative Commons Attribution 2.0	検索語に基づく参考写真
30	竹細工のカゴ/ザル (Bamboo Basketry)	030.jpg	intitle:bamboo basket	A view of bamboo basket making.JPG	https://commons.wikimedia.org/wiki/File:A_view_of_bamboo_basket_making.JPG	Thamizhpparithi Maari	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
31	カレン族の銀細工 (Karen Silver)	031.jpg	File:Tribes woman with ear piercing.jpg	Tribes woman with ear piercing.jpg	https://commons.wikimedia.org/wiki/File:Tribes_woman_with_ear_piercing.jpg	Steve Evans from India and USA	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Creative Commons Attribution 2.0	対象分野に関連する参考写真
32	トゥン (Tung / Lanna Flag)	032.jpg	File:Mangrai Monument.jpg	Mangrai Monument.jpg	https://commons.wikimedia.org/wiki/File:Mangrai_Monument.jpg	Thanyakij at Thai Wikipedia	Public domain		Public domain	対象分野に関連する参考写真
33	ヤーム (Yaam / Shoulder Bag)	033.jpg	intitle:Thai shoulder bag	Woman's clothing, Lahu Nyi people, with shoulder bag, Lahu Na people, Northern Thailand, collected in 1986 - Ethnological Museum, Berlin - DSC01410.JPG	https://commons.wikimedia.org/wiki/File:Woman%27s_clothing,_Lahu_Nyi_people,_with_shoulder_bag,_Lahu_Na_people,_Northern_Thailand,_collected_in_1986_-_Ethnological_Museum,_Berlin_-_DSC01410.JPG	Daderot	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Creative Commons Zero, Public Domain Dedication	検索語に基づく参考写真
34	ほうき草の座敷箒 (Grass Broom)	034.jpg	intitle:grass broom	Broom soft-grass stem.jpg	https://commons.wikimedia.org/wiki/File:Broom_soft-grass_stem.jpg	Sengai Podhuvan	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
35	竹炭・木酢液 (Bamboo Charcoal)	035.jpg	intitle:bamboo charcoal	Bamboo charcoal.jpg	https://commons.wikimedia.org/wiki/File:Bamboo_charcoal.jpg	Mk2010	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
36	ロット・ドゥアン (Bamboo Worm)	036.jpg	File:Fried bamboo worm (L) and crickets (R) (14351612163).jpg	Fried bamboo worm (L) and crickets (R) (14351612163).jpg	https://commons.wikimedia.org/wiki/File:Fried_bamboo_worm_(L)_and_crickets_(R)_(14351612163).jpg	shankar s. from Dubai, united arab emirates	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Creative Commons Attribution 2.0	対象を個別確認した写真
37	カイ・モット・デーン (Red Ant Eggs)	037.jpg	File:2017 0418 Khai chiao khai mot daeng.jpg	2017 0418 Khai chiao khai mot daeng.jpg	https://commons.wikimedia.org/wiki/File:2017_0418_Khai_chiao_khai_mot_daeng.jpg	Takeaway	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象を個別確認した写真
38	パック・ワーン・パー (Melientha)	038.jpg	intitle:Melientha	Melientha suavis.jpg	https://commons.wikimedia.org/wiki/File:Melientha_suavis.jpg	Rau sắng.jpg: Viethavvh derivative work: Phó Nháy (talk)	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
39	ナム・プー (Nam Pu)	039.jpg	File:Tam som-o nam pu.JPG	Tam som-o nam pu.JPG	https://commons.wikimedia.org/wiki/File:Tam_som-o_nam_pu.JPG	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	対象を個別確認した写真
40	プラ・ソム (Pla Som)	040.jpg	File:Barbonymus gonionotus-Pla som861.jpg	Barbonymus gonionotus-Pla som861.jpg	https://commons.wikimedia.org/wiki/File:Barbonymus_gonionotus-Pla_som861.jpg	Xufanc	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	対象を個別確認した写真
41	カオ・プック (Khao Puk Nga)	041.jpg	File:Khao puk nga.jpg	Khao puk nga.jpg	https://commons.wikimedia.org/wiki/File:Khao_puk_nga.jpg	Phoebus 28	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象を個別確認した写真
42	カオ・クワップ (Khao Kwup)	042.jpg	File:20171111 Ciastka ryżowe Luang Prabang 1189 DxO.jpg	20171111 Ciastka ryżowe Luang Prabang 1189 DxO.jpg	https://commons.wikimedia.org/wiki/File:20171111_Ciastka_ry%C5%BCowe_Luang_Prabang_1189_DxO.jpg	Jakub Hałun	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象分野に関連する参考写真
43	カノム・ジョック (Khanom Jok)	043.jpg	File:93 - IMG 20150903 103655.jpg	93 - IMG 20150903 103655.jpg	https://commons.wikimedia.org/wiki/File:93_-_IMG_20150903_103655.jpg	Susan Slater	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象を個別確認した写真
44	ミヤン (Miang / Fermented Tea Leaf)	044.jpg	File:Darjeeling, India, Fermented tea leaves.jpg	Darjeeling, India, Fermented tea leaves.jpg	https://commons.wikimedia.org/wiki/File:Darjeeling,_India,_Fermented_tea_leaves.jpg	Vyacheslav Argenberg	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	Creative Commons Attribution 4.0	対象分野に関連する参考写真
45	カオ・タン (Khao Tan)	045.jpg	File:Rice crackers.jpg	Rice crackers.jpg	https://commons.wikimedia.org/wiki/File:Rice_crackers.jpg	Tiia Monto	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象分野に関連する参考写真
46	ケープ・グースベリー (Cape Gooseberry)	046.jpg	File:Cape gooseberry.jpg	Cape gooseberry.jpg	https://commons.wikimedia.org/wiki/File:Cape_gooseberry.jpg	Manojkumar Subramani	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象を個別確認した写真
47	パッションフルーツ (Passion Fruit)	047.jpg	File:Passion fruits.jpg	Passion fruits.jpg	https://commons.wikimedia.org/wiki/File:Passion_fruits.jpg	Ben3john	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	対象を個別確認した写真
48	マルベリー (Mulberry)	048.jpg	File:Mulberry fruit (1).jpg	Mulberry fruit (1).jpg	https://commons.wikimedia.org/wiki/File:Mulberry_fruit_(1).jpg	Fumikas Sagisavas	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Creative Commons Zero, Public Domain Dedication	対象を個別確認した写真
49	チェンライ産はちみつ (Wild Honey)	049.jpg	File:Jars of Honey.jpg	Jars of Honey.jpg	https://commons.wikimedia.org/wiki/File:Jars_of_Honey.jpg	Alabama Extension	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Creative Commons Zero, Public Domain Dedication	対象を個別確認した写真
50	ロイヤルプロジェクト・イチゴ (Strawberry 80)	050.jpg	File:Fresh strawberries.jpg	Fresh strawberries.jpg	https://commons.wikimedia.org/wiki/File:Fresh_strawberries.jpg	Nutrition, Food Safety &amp; Health	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Creative Commons Zero, Public Domain Dedication	対象を個別確認した写真
